339799, 4037, 927, -235, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
339836, 4089, 903, -467, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
339872, 3849, 947, -486, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
339908, 3831, 883, -444, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
339945, 3748, 629, -269, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
339981, 3636, 745, -253, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
340018, 3211, 836, -230, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
340060, 2981, 788, -184, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
340102, 3330, 763, -340, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
340144, 3381, 863, -87, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
340186, 3419, 573, 339, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
340229, 3334, 95, 778, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
340271, 3669, 755, 843, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
340313, 3722, 387, 1010, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
340355, 3962, 126, 927, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
340397, 3799, 446, 811, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
340440, 3775, 630, 400, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
340479, 4189, 701, -143, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
340518, 4460, 781, 735, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
340558, 4148, 1142, 889, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
340597, 4540, 1068, 1322, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
340637, 4191, 626, 706, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
340676, 4051, 614, 669, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
340715, 3975, 1044, 795, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
340755, 3989, 1457, 830, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
340794, 3800, 973, 1030, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
340834, 3585, 704, 1613, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
340871, 3514, 1484, 2198, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
340909, 3488, 1824, 1717, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
340947, 3294, 1930, 2175, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
340984, 3454, 1863, 2562, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
341022, 3885, 120, 2080, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
341060, 3883, 77, 1892, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
341098, 4001, 912, 2125, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
341135, 4083, 757, 2792, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
341173, 3501, 910, 3084, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
341211, 3177, 435, 2950, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
341249, 2999, 211, 3088, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
341288, 3104, 593, 2267, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
341327, 3860, 1118, 4888, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
341366, 2817, -625, 1920, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
341405, 3451, 816, 1926, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
341444, 3457, 531, 1805, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
341483, 3509, 942, 1164, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
341522, 3380, 67, 1615, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
341561, 3854, 504, 1278, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
341600, 4458, 440, 1435, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
341639, 3996, 286, 1737, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
341673, 4189, 438, 1260, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
341707, 4319, 410, 1052, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
341741, 4172, 610, 558, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
341775, 4272, 290, 292, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
341809, 4193, 606, 280, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
341843, 4040, 367, -334, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
341877, 4408, 1003, -2060, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
341911, 4688, 875, 175, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
341945, 5123, 809, 2488, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
341979, 4209, -24, 2255, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
342014, 3704, 957, 741, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
342059, 3916, 1625, 2278, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
342104, 3616, 715, 1446, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
342149, 3746, 1031, 1824, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
342194, 3746, 1326, 1823, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
342240, 3591, 965, 1664, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
342285, 3462, 1092, 1914, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
342330, 3497, 1010, 2106, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
342375, 3427, 1273, 2070, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
342420, 3412, 1101, 2065, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
342466, 3269, 1293, 2260, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
342507, 3273, 1395, 1955, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
342549, 3267, 1341, 2303, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
342591, 3396, 989, 2215, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
342633, 3161, 1522, 2307, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
342675, 3296, 1148, 2283, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
342716, 3216, 1173, 2268, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
342758, 3208, 1238, 2235, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
342800, 3180, 1217, 2339, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
342842, 3285, 1139, 2342, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
342884, 3150, 1507, 2208, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
342917, 3193, 1217, 2358, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
