63558, 3759, 1507, 392, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
63598, 4034, 1562, 612, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
63633, 3900, 1443, 1350, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
63668, 3929, 1486, 1222, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
63703, 3864, 1352, 889, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
63739, 3715, 1445, 747, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
63774, 3801, 1231, 871, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
63809, 3663, 1514, 834, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
63844, 3676, 1346, 831, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
63880, 3674, 1396, 758, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
63915, 3794, 1572, 562, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
63950, 3807, 1859, 723, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
63986, 3738, 1674, 821, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
64028, 3743, 1584, 893, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
64071, 3740, 1289, 968, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
64114, 3894, 1302, 964, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
64157, 3762, 1498, 737, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
64200, 3909, 1632, 517, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
64243, 3900, 1430, 585, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
64286, 4235, 1707, 735, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
64329, 4681, 1463, 952, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
64372, 4487, 1821, 884, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
64415, 4460, 2292, 507, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
64450, 3962, 2318, 375, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
64485, 3605, 1769, 415, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
64520, 1627, 3633, -159, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
64556, 395, -431, 319, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
64591, 110, 531, 145, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
64626, 682, 2591, 215, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
64661, 1004, 75, 1435, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
64697, 1983, 2777, 1819, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
64732, 2242, 2948, 2703, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
64767, 1849, 782, 3648, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
64803, 2125, 2222, 2096, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
64843, 2353, 1568, 2783, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
64883, 4222, 2170, 3264, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
64923, 4350, 2846, 4641, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
64964, 2324, 1941, 1975, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
65004, 3433, 2909, 1866, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
65044, 3733, 1747, 3322, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
65085, 3536, 2191, 3042, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
65125, 3610, 2364, 2736, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
65165, 3532, 1860, 1936, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
65206, 2747, 2312, 2737, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
65246, 3659, 871, 3820, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
65287, 6203, 1489, 3979, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
65328, 4247, 2508, 3690, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
65369, 3089, 2045, 3468, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
65410, 1530, 673, 3137, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
65451, 1544, 901, 2650, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
