79061, 3678, 1188, -1202, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
79091, 3925, 1333, -1269, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
79121, 4804, -1376, 628, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
79152, 4302, -1204, 515, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
79182, 3171, -831, -213, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
79212, 3985, 367, -306, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
79242, 4127, 1118, -308, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
79273, 3947, 1148, -276, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
79303, 4221, 1167, -497, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
79333, 3974, 841, -410, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
79364, 3819, 826, -108, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
79406, 3469, 880, 334, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
79448, 3448, 1203, 907, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
79490, 3540, 1497, 1166, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
79532, 3573, 1688, 677, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
79574, 3919, 807, 612, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
79616, 3593, 1506, 43, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
79658, 4555, 1677, -144, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
79700, 3488, 561, 360, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
79742, 3066, 1353, 1147, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
79784, 2147, 842, 1122, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
79824, 1795, 740, 1503, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
79865, 2241, 1650, 1983, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
79906, 2087, 1642, 1636, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
79947, 3081, 2183, 3272, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
79988, 2906, 1984, 2369, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
80029, 2995, 1717, 2680, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
80070, 2395, 878, 3108, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
80111, 3107, 2261, 3572, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
80152, 2997, 2324, 3564, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
80193, 2387, 2366, 3794, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
80228, 2769, 1874, 4702, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
80263, 3603, 1040, 4789, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
80299, 4239, 1755, 3481, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
80334, 3298, 1891, 3204, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
80370, 1977, 1273, 2312, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
80405, 934, 478, 1782, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
80441, 1992, 1600, 2519, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
80476, -2995, -5111, 2378, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
80512, 2872, 208, 2002, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
80547, 2463, 2122, 1189, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
80583, 3450, 1845, 1661, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
80628, 3721, 1330, 1902, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
80673, 3547, 1398, 2027, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
80718, 3898, 1667, 2316, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
80763, 3858, 1502, 1516, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
80808, 4105, 2431, 1665, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
