274368, 3736, 834, 979, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
274411, 3718, 855, 1260, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
274455, 3868, 895, 971, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
274498, 4076, 1501, 492, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
274542, 4180, 1177, 311, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
274585, 3995, 1468, 214, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
274628, 3956, 1405, 568, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
274671, 3683, 1331, 598, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
274714, 3736, 1282, 785, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
274757, 3813, 1082, 961, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
274800, 4089, 1061, 884, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
274843, 4107, 1027, 842, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
274886, 3803, 328, 698, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
274929, 3477, 846, 480, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
274972, 3812, 929, 510, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
275002, 3608, 1051, 1067, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
275033, 3857, 858, 1127, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
275063, 3932, 750, 899, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
275094, 4469, 1632, 205, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
275124, 4738, 1333, 109, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
275155, 4737, 1042, 453, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
275185, 4291, 607, 1356, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
275216, 4117, 797, 1378, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
275246, 4654, 760, 562, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
275277, 3991, 969, 659, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
275308, 3341, 1011, 431, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
275349, 3466, 927, 1166, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
275390, 2520, 1248, 180, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
275431, 2346, 748, -29, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
275472, 2358, 736, 19, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
275514, 2560, -68, -12, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
275555, 2610, -14, -53, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
275596, 2786, 810, 256, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
275637, 4132, 711, 3083, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
275678, 4218, 2160, -997, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
275720, 5557, 3020, 728, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
275757, 4956, 790, -196, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
275794, 3558, 2754, -1221, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
275831, 3705, 916, 476, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
275868, 3790, 1191, 1095, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
275905, 3481, 1832, 929, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
275942, 3137, 1773, 1290, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
275979, 2832, 1492, 1916, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
276016, 2766, 1557, 2918, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
276053, 2840, 1744, 3138, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
276090, 2898, 1879, 2694, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
276127, 2664, 1758, 2631, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
276166, 3936, 1913, 3715, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
276206, 5393, 2548, 3264, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
276245, 5016, 2449, 2412, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
