114608, 3415, 1474, -1739, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
114642, 3363, 1493, -1817, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
114676, 3255, 1398, -1777, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
114709, 3212, 1268, -1854, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
114743, 3229, 1102, -1873, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
114777, 3221, 1319, -1852, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
114811, 3208, 1276, -1766, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
114849, 3173, 1143, -1711, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
114887, 3136, 969, -1691, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
114925, 3034, 905, -1652, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
114963, 2799, 941, -1616, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
115001, 2727, 850, -1525, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
115039, 2614, 950, -1478, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
115077, 2465, 828, -1480, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
115115, 2428, 822, -1315, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
115153, 2251, 910, -1188, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
115191, 2499, 1397, -1299, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
115227, 2970, 1601, -1425, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
115264, 3522, 1633, -1547, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
115301, 3969, 1357, -1716, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
115338, 4039, 1321, -1886, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
115375, 3962, 1458, -1863, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
115411, 4087, 1611, -1963, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
115448, 4135, 1944, -1901, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
115485, 4103, 1836, -1663, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
115522, 4325, 2388, -1433, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
115559, 4649, 2211, -1188, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
115596, 4004, 2699, -779, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
115638, 3575, 2481, -86, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
115681, 3613, 2617, 105, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
115724, 3558, 2809, 200, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
115767, 3464, 3024, 242, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
115810, 3252, 2851, 288, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
