145634, 3916, 79, -48, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
145670, 4159, -242, 201, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
145706, 4496, -903, 332, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
145743, 4438, 123, -447, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
145779, 4475, -674, 42, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
145815, 4905, -385, 14, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
145852, 4237, -32, -71, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
145888, 3889, 1081, -1120, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
145924, 3990, 1391, -1725, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
145961, 3859, 1660, -2226, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
145997, 3230, 330, -2199, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
146034, 3271, 520, -2109, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
146079, 3474, 486, -1977, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
146124, 3950, 64, -1329, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
146169, 4041, -1125, -93, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
146214, 4235, -1720, 306, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
146259, 4711, -555, -309, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
146304, 4324, -30, -328, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
146349, 4537, -59, -485, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
146394, 4940, 884, -592, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
146439, 6410, 1123, 668, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
146484, 6838, 2046, 256, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
146515, 4148, 1189, -1290, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
146547, 733, 428, -1735, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
146579, 310, 69, -163, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
146610, 1225, 288, 899, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
146642, 1004, 258, 995, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
146674, 711, -800, 376, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
146706, 1043, -1027, 735, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
