55540, 4009, 1183, 223, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
55577, 3885, 1503, 1, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
55614, 3954, 1073, 378, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
55651, 3899, 815, 699, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
55689, 4118, 1712, 1237, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
55725, 3787, 2411, 1280, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
55762, 3662, 223, 274, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
55798, 3750, 188, 341, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
55835, 3772, 393, 159, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
55872, 4034, 76, 424, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
55908, 3825, 154, 392, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
55945, 3639, -37, 702, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
55982, 3486, 1332, -765, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
56018, 3536, 1049, 649, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
56055, 4517, 2167, 556, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
56092, 4114, 4, 429, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
56134, 4002, 144, 207, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
56177, 4483, 456, 309, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
56220, 4435, 969, 461, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
56263, 4421, 1417, 425, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
56306, 4396, 976, 402, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
56348, 3892, 1343, 353, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
56391, 3154, 1361, 829, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
56434, 2424, 603, 506, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
56477, 2913, 722, 1203, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
56520, 2663, -458, 848, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
56558, 2763, 1248, 215, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
56597, 2350, 206, 290, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
56636, 3144, 1236, 401, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
56674, 4157, 1765, 1119, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
56713, 8011, 738, 2398, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
56752, 2665, 1171, -974, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
