47121, 3993, 618, 1215, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
47158, 4071, 573, 820, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
47195, 4556, 1253, 771, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
47232, 4340, 1358, 731, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
47269, 4949, 1803, 982, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
47306, 4270, 1156, 1167, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
47343, 5438, 3448, 429, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
47380, 3487, 2849, 178, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
47417, 405, 256, 189, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
47455, -96, 656, -257, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
47496, 724, 3159, -592, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
47537, 625, 1040, 709, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
47578, 988, 205, 1458, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
47620, 1987, 1700, 2405, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
47661, 2210, 3339, 2504, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
47702, 1758, 1169, 2779, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
47744, 2492, 2796, 2268, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
47785, 3651, 2262, 3827, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
47826, 3780, 2340, 3096, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
47868, 4201, 1513, 2320, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
47905, 4826, 2236, 3416, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
47943, 3609, 1431, 1265, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
47981, 3320, 1457, 962, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
48019, 3356, 1494, 1425, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
48057, 4197, 2466, 2226, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
48094, 3432, 1609, 2595, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
48132, 3694, 904, 2569, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
48170, 3165, 1048, 2614, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
48208, 3537, 594, 2317, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
48246, 4322, 1023, 2381, 64, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
48282, 4766, 2055, 4223, 65, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
48319, 3495, 293, 4214, 65, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
48356, 3115, 1187, 5619, 65, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
48392, 1024, -2994, 3467, 65, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
48429, 2356, 1547, 3764, 65, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
48466, 2403, 209, 2432, 65, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
48503, 2939, 414, 2129, 65, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
48539, 3724, 1414, 1275, 65, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
48576, 3958, 1251, 1314, 65, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
48613, 4146, 2090, -26, 65, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
48650, 5489, 3052, 4533, 65, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
48694, 7807, 3056, 1443, 65, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
48739, 2967, -629, 1596, 65, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
48784, 2999, 3561, 2237, 65, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
48829, 3568, 908, 2190, 65, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
48874, 2993, 1730, 1873, 65, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
48918, 3057, 1865, 2413, 65, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
48963, 3157, 1699, 2512, 65, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
49008, 2735, 2146, 2283, 65, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
49053, 2706, 1721, 2785, 65, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
49098, 2689, 1740, 2562, 65, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
49131, 2592, 1778, 2380, 66, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
49164, 2459, 2030, 2632, 66, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
49197, 2641, 1835, 2692, 66, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
49230, 2609, 1791, 2686, 66, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
49263, 2613, 1857, 2657, 66, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
49297, 2615, 1787, 2661, 66, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
49330, 2653, 1921, 2613, 66, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
49363, 2710, 1863, 2548, 66, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
49396, 2719, 1910, 2453, 66, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
49429, 2725, 1903, 2487, 66, 7485240d-c0ae-4afb-b372-90ad340ebbe4, , transisi, transisi_iktidal_ke_sujud, , 
