56560, 3782, 1940, -347, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
56596, 3658, 1902, -437, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
56633, 3583, 1960, -290, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
56670, 3339, 1524, -370, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
56715, 3135, 1478, -104, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
56761, 2848, 1149, 256, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
56807, 2462, 1126, -99, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
56852, 1959, 724, -283, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
56898, 2309, 173, 630, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
56944, 2821, 733, 1296, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
56989, 3581, 1172, 1868, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
57035, 4252, 1376, 2283, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
57081, 3389, 1303, 904, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
57127, 3886, 2272, 1062, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
57158, 4470, 2203, 1221, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
57190, 4067, 2171, 984, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
57222, 4480, 1115, 930, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
57253, 4190, 1867, 1040, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
57285, 3673, 2505, 503, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
57317, 3428, 2486, 1441, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
57349, 3145, 2531, 2274, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
57380, 2578, 3284, 2491, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
57412, 3131, 2769, 2355, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
57444, 3019, 3103, 1763, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
57476, 3026, 1780, 1769, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
57515, 3906, 1874, 2614, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
57555, 4290, 2457, 2920, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
57594, 3590, 1421, 2666, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
57634, 2816, 1200, 2415, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
57673, 2552, 1250, 3092, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
57713, 2841, 792, 3137, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
57752, 2869, 1299, 2938, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
57792, 2127, 1284, 2894, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
57831, 2047, 2167, 2902, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
57871, 2070, 1550, 2975, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
57911, 1621, 720, 2354, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
57952, 2094, 724, 3301, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
57993, 2138, 1602, 1968, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
58034, 3249, 1874, 2220, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
58075, 2682, 719, 1112, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
58115, 3213, 890, 2222, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
58156, 3620, 1213, 2357, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
58197, 4543, 1170, 2968, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
58238, 5521, 1746, 1665, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
58279, 4545, 2125, 473, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
58312, 7042, 1987, 896, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
58345, 4771, -1235, -1052, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
58378, 4932, 1815, 662, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
58412, 3402, 1236, 1071, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
58445, 2603, 2265, 2019, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
58478, 3340, 1846, 2403, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
