344272, 3222, -211, -690, 95, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
344311, 3412, -285, 99, 95, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
344350, 2931, 184, -33, 95, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
344389, 2371, -105, 2, 95, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
344429, 2307, 281, 919, 95, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
344466, 2679, 481, 288, 95, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
344503, 4155, -1489, 448, 95, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
344541, 2987, -427, 281, 95, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
344578, 4200, -442, 55, 95, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
344615, 6154, 106, -220, 95, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
344653, 5111, -99, 176, 95, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
344690, 4793, -7, -3, 95, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
344727, 4915, -260, 203, 95, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
344765, 5048, -205, 563, 95, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
344802, 4969, -534, 718, 95, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
344840, 5278, -195, 901, 95, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
344879, 5010, -632, 950, 93, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
344918, 4652, -461, 1323, 93, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
344958, 4577, -766, 1967, 93, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
344997, 4654, -179, 1497, 93, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
345037, 4459, -560, 1793, 93, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
345076, 4289, -87, 1439, 93, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
345115, 4475, -17, 941, 93, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
345155, 3959, 536, 973, 93, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
345194, 4667, 575, -1393, 93, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
345234, 8194, -370, 6578, 93, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
345269, 3021, 301, 3131, 93, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
345304, 2458, 66, 3236, 93, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
345340, 2954, 99, 3005, 93, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
345375, 3127, 386, 2810, 93, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
345411, 2878, -371, 2511, 93, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
345446, 3253, 217, 2465, 93, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
345482, 3433, 48, 2613, 93, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
345517, 3378, -142, 2529, 93, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
345553, 3402, 437, 2429, 93, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
345588, 3467, 307, 2383, 93, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
