79150, 3534, 2501, 514, 57, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
79186, 3534, 1431, 456, 57, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
79222, 3622, 1312, 706, 57, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
79259, 3722, 1154, 927, 57, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
79295, 3659, 1314, 978, 57, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
79331, 3704, 1486, 1147, 57, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
79368, 3635, 1584, 1136, 57, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
79404, 3642, 1713, 1087, 57, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
79440, 3678, 1679, 1027, 57, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
79477, 3659, 1528, 892, 57, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
79513, 3733, 1587, 711, 57, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
79550, 3869, 2005, 687, 57, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
79590, 4069, 1996, 989, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
79630, 4464, 2021, 1339, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
79670, 5133, 2392, 1380, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
79711, 4930, 2576, 1672, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
79751, 4303, 2486, 945, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
79791, 3055, 2088, 616, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
