48256, 3897, 984, 427, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
48298, 3919, 1060, 380, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
48340, 3662, 1062, 188, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
48382, 3161, 1102, 421, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
48424, 2841, 842, 500, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
48466, 2439, 1169, 179, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
48508, 2577, 964, 608, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
48544, 2118, 836, 570, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
48580, 2958, 970, 695, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
48617, 2718, 1468, 807, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
48653, 3069, 1352, 1333, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
48690, 3495, 1352, 1878, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
48726, 3815, 1209, 2125, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
48763, 3697, 1139, 1948, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
48799, 4614, 2098, 3399, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
48836, 3970, 2088, 1627, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
48872, 3691, 1210, 1559, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
48909, 3816, 2473, 1313, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
48949, 4180, 2649, 1423, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
48990, 4176, 1935, 1305, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
49031, 4025, 1502, 1410, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
49072, 3372, 1201, 1742, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
49113, 3187, 1875, 1872, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
49153, 3686, 1941, 2160, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
49194, 4761, 1915, 3714, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
49235, 3187, 3029, 3744, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
49276, 2458, 1663, 3271, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
49317, 2105, 1638, 2568, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
49349, 4451, 4933, 8772, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
49382, 373, -2033, 469, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
49414, 3879, 1366, 1808, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
49447, 630, 93, 1737, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
49479, 4917, 1304, 2386, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
49512, 3813, 1080, 1571, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
49544, 3492, 739, 1092, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
49577, 3134, 770, 348, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
49609, 3240, 952, -813, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
49642, 8231, 1616, 41, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
49675, 8340, 2714, 5299, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
49719, 1305, -2273, 1018, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
49764, 4218, 2633, 537, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
49808, 4057, 1965, 1962, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
49853, 3257, 910, 1234, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
