53501, 3408, 1870, -2019, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
53542, 3431, 1443, -1498, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
53583, 3608, 1477, -1696, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
53624, 3394, 1712, -1658, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
53665, 3474, 1466, -1820, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
53699, 3291, 1309, -1813, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
53734, 3373, 1123, -1672, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
53769, 3472, 1301, -1580, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
53804, 3762, 1181, -1443, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
53839, 3736, 1083, -1228, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
53873, 3837, 1246, -1340, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
53908, 3667, 1268, -1494, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
53943, 3449, 1490, -1328, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
53978, 3978, 1310, -1603, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
54013, 4014, 1601, -1557, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
54053, 4035, 1706, -1578, 76, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
54093, 4104, 1862, -1507, 76, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
54133, 3964, 1361, -1200, 76, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
54173, 3221, 2545, -1824, 76, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
54213, 3079, 1732, -958, 76, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
54253, 2442, 3084, -1569, 76, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
54293, 3103, 2312, -1528, 76, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
54333, 3034, 2007, -1216, 76, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
54373, 3516, 2169, -1165, 76, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
54413, 3355, 2766, -1732, 76, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
54453, 2886, 1932, -1288, 76, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
54490, 3853, 959, -90, 76, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
54528, 3515, 1007, -900, 76, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
54565, 2324, 1746, -1730, 76, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
54603, 3167, 987, -436, 76, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
54640, 1250, 2199, -938, 76, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
