190993, 3296, 1590, -1684, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
191033, 3266, 1544, -1686, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
191074, 3238, 1519, -1646, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
191114, 3211, 1464, -1611, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
191154, 3257, 1481, -1566, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
191195, 3150, 1081, -1629, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
191230, 3107, 1020, -1613, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
191265, 2792, 1070, -1511, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
191301, 2428, 926, -1477, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
191336, 2536, 887, -1437, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
191371, 2324, 825, -1387, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
191407, 2426, 1038, -1620, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
191442, 2873, 1408, -1730, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
191477, 2474, 1206, -1604, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
191513, 3010, 907, -1619, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
191548, 2998, 1331, -1424, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
191584, 3013, 1387, -1428, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
191624, 3196, 1201, -1490, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
191665, 3654, 1250, -1601, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
191706, 4012, 1535, -1753, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
191747, 4147, 1718, -1991, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
191788, 4449, 1913, -1891, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
191829, 4729, 2124, -1815, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
191870, 4567, 1832, -1756, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
191911, 4706, 1734, -1159, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
191952, 4485, 1843, -1043, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
191993, 4453, 2062, -983, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
192033, 3879, 2593, -210, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
192073, 3936, 2273, -41, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
192113, 3762, 2495, 50, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
192153, 3576, 2741, 105, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
192193, 3419, 2488, 555, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
192233, 3099, 2666, 428, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
