223210, 3616, 1765, 1155, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
223248, 3631, 1743, 1148, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
223286, 3850, 1832, 1109, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
223324, 3910, 2304, 1070, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
223362, 3966, 2121, 857, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
223400, 3439, 1399, 1072, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
223438, 3019, 1623, 927, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
223476, 2860, 2246, 914, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
223514, 2659, 2118, 861, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
223552, 2559, 1743, 654, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
223590, 2498, 1242, 673, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
223636, 2710, 2136, 400, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
223682, 2852, 1706, 702, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
223728, 3253, 2276, 897, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
223775, 3042, 2264, 768, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
223821, 2293, 2809, 475, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
223867, 2222, 2011, 768, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
223914, 2302, 2353, 906, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
223960, 2234, 2072, 1033, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
224006, 2022, 3027, 1241, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
224053, 1530, 1713, 2901, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
224084, 2390, 2488, 2361, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
224116, 2612, 2383, 2333, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
