173583, 3913, 1701, 563, 97, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
173619, 3849, 1421, 524, 97, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
173655, 3968, 1654, 654, 97, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
173691, 3933, 1586, 440, 97, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
173727, 4136, 1933, 771, 97, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
173763, 4413, 2096, 700, 97, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
173799, 4838, 2226, 1319, 97, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
173835, 4839, 1483, 1320, 97, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
173871, 4758, 2072, 1016, 97, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
173912, 3628, 3298, -136, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
173954, 1896, 1756, -727, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
173996, 601, -119, -280, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
174038, 826, 1423, 181, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
174080, 1339, 2343, 408, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
174121, 1434, 2339, 455, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
174163, 1467, -100, 972, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
174205, 1712, -16, 848, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
174247, 675, 400, 111, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
174289, 3233, 3091, 1705, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
174324, 4239, 2710, 3398, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
174359, 4446, 2373, 3432, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
174394, 2650, 522, 2587, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
174430, 2939, 2554, 1997, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
174465, 4313, 2870, 3189, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
174500, 4293, 3382, 3426, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
174535, 3220, 2585, 1982, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
174571, 3201, 2268, 2550, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
174606, 2584, 2806, 2306, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
174641, 3444, 2961, 2947, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
174677, 3278, 2221, 2177, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
