139313, 3121, 1697, -407, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
139352, 3509, 1384, -210, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
139391, 3581, 1374, -488, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
139430, 3524, 1515, -433, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
139469, 3320, 1259, -305, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
139508, 3039, 1203, 28, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
139547, 2908, 1141, 313, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
139586, 2697, 1050, 669, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
139625, 2720, 870, 1005, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
139664, 2739, 1364, 1441, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
139703, 3294, 248, 1402, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
139742, 3550, 1, 2116, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
139781, 3552, 2286, 2062, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
139821, 3931, 1637, 1722, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
139860, 3893, 2245, 3042, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
139899, 4048, 3217, 1996, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
139938, 4231, 3334, 670, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
139977, 4109, 3548, 364, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
140017, 4231, 2573, 17, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
140056, 4477, 2292, 204, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
140096, 4580, 2024, 1195, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
140136, 4209, 1098, 1675, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
140176, 4059, 1019, 1978, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
140216, 3494, 935, 1985, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
140256, 2686, 304, 2565, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
140296, 2765, -1015, 2153, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
140336, 3938, 1239, 1043, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
140376, 4626, 2393, 2147, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
140416, 4162, 1029, 3810, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
140456, 3019, -562, 5118, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
140496, 2102, -915, 5255, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
140536, 3048, 1755, 6700, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
140576, -243, -3163, 1857, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
140616, 2729, 682, 2746, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
140656, 2047, 48, 2592, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
