59553, 4090, -769, -162, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
59598, 4069, -797, -285, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
59643, 4065, -765, -252, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
59688, 4052, -839, -264, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
59733, 4142, -859, -402, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
59778, 3932, -981, -248, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
59823, 3799, -1008, -126, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
59868, 3841, -947, -268, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
59899, 3709, -849, -344, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
59931, 3499, -819, -409, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
59962, 3254, -948, -479, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
59994, 3151, -739, -482, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
60026, 2850, -588, -253, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
60057, 3074, -909, 164, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
60089, 3468, 88, -312, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
60121, 3096, -138, -194, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
60152, 3298, -137, 219, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
60184, 3415, -449, 703, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
60216, 3650, -933, 540, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
60261, 3536, -272, 481, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
60307, 3564, 421, 23, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
60353, 3610, -400, -49, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
60398, 3936, -351, -356, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
60444, 4831, -12, -992, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
60490, 5404, -1422, 79, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
60535, 4093, -2119, 850, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
60581, 5325, -1244, 557, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
60627, 4920, 481, 321, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
60673, 5027, 2594, -85, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
60705, 5278, 2505, -8, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
60738, 4937, 1346, -183, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
60771, 5257, -434, 347, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
60804, 6112, 24, 252, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
60837, 5475, -59, 842, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
60870, 3992, 468, 917, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
60903, 3650, 814, 1434, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
60936, 2962, 2627, 2065, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
60969, 3965, 2038, 2174, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
61002, 4006, 1791, 1609, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
61035, 3784, 899, 1810, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
61074, 4024, 807, 1081, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
61114, 3886, 1215, 965, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
61154, 3751, -824, 1069, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
61194, 4014, 684, 1139, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
61234, 3925, 656, 932, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
61273, 4204, 246, 390, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
61313, 4145, -51, 289, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
61353, 4083, -124, -7, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
61393, 3972, -451, -31, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
61433, 3975, -744, -232, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
61473, 3724, -952, -205, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
61514, 3520, -485, -2153, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
61554, 4270, -285, -10226, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
61595, 6620, -1356, 3619, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
61636, 4112, -2972, 1011, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
61676, 3348, 215, 352, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
61717, 5071, 2858, 1936, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
61757, 4190, -1491, 936, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
61798, 3806, 722, 863, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
61839, 3851, 1224, 1654, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
61874, 3879, 278, 1670, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
61910, 3370, 1097, 1666, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
61946, 3645, 910, 1978, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
61981, 3538, 1192, 2030, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
62017, 3807, 488, 1777, 98, ff971376-e3eb-460f-b794-c035f7bf6047, , transisi, transisi_iktidal_ke_sujud, , 
