92824, 4428, -1167, 526, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
92860, 4220, -593, -101, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
92896, 4121, -292, -292, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
92932, 4166, -282, 12, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
92968, 4096, 5, -44, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
93004, 4143, 246, -301, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
93040, 4198, 578, -609, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
93076, 4066, 753, -998, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
93112, 4008, 1052, -1033, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
93148, 3790, 1149, -1196, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
93184, 3823, 939, -1354, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
93221, 3841, 945, -2001, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
93261, 3677, 1706, -1319, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
93301, 4443, -1040, -255, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
93341, 4450, -2387, 690, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
93381, 3885, -571, -500, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
93421, 4005, 779, -871, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
93461, 4482, 199, -552, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
93501, 4991, 1526, -425, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
93541, 6169, 2828, -217, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
93581, 5202, 1139, -467, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
93622, 2810, 108, -1083, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
93660, 1559, 599, -1198, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
