141142, 3702, 1558, 689, 76, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
141180, 3707, 1767, 614, 76, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
141218, 3772, 1799, 709, 76, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
141257, 3925, 1882, 770, 76, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
141295, 4000, 2128, 878, 76, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
141334, 3934, 2158, 857, 76, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
141372, 3980, 2089, 870, 76, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
141411, 4052, 2343, 852, 76, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
141449, 3640, 2526, 714, 76, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
141488, 3475, 2410, 579, 76, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
141526, 2815, 2532, 463, 76, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
141565, 2345, 2225, 50, 76, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
141607, 2094, 2194, 276, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
141649, 1845, 2682, -211, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
141691, 2119, 1662, 154, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
141733, 2235, 1867, 201, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
141776, 2139, 661, 851, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
141818, 2396, 2232, 1280, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
141860, 1667, 1112, 784, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
141902, 2348, 1658, 592, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
141944, 2306, 4410, 883, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
141987, 3817, 2651, 3319, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
