181569, 3894, 1199, -708, 102, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
181607, 3619, 1332, -1330, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
181646, 3473, 782, -1693, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
181685, 3081, -1627, -1378, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
181723, 2320, -1369, -1351, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
181762, 1929, -308, -1292, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
181801, 2255, -686, -1101, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
181840, 2949, 171, -1348, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
181878, 3256, -255, -468, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
181917, 4123, 47, 493, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
181956, 5418, 2022, 1911, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
181995, 5832, 1506, 2081, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
182033, 3562, -611, 311, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
182072, 3182, 1613, 950, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
182110, 2443, 3092, 2319, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
182149, 2836, 4235, 1247, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
182187, 1239, 2283, -1845, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
182226, 2753, 2266, 36, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
182264, 4418, 2662, 1709, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
182303, 4537, 2881, 1521, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
182341, 4473, 1839, 1507, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
182380, 4606, 1439, 1584, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
182415, 4357, 1224, 1886, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
182450, 4596, 1366, 1545, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
182485, 3868, 778, 1868, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
182521, 4049, 250, 2141, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
182556, 3769, 599, 1999, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
182591, 4104, 1111, 1751, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
182626, 3026, 275, 724, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
182662, 5067, 3968, -3930, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
182697, 7177, 858, 5333, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
182732, 6851, 2318, 113, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
182768, 2802, 2793, 2799, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
182811, 3380, 1173, 1986, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
182855, 3447, 465, 2411, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
182898, 3911, 1156, 1838, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
182942, 3923, 965, -21, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
182985, 4451, 1188, 283, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
183029, 3776, 1662, 918, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
183072, 3823, 1474, 1591, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
183116, 3459, 1151, 1564, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
183159, 3696, 1513, 1565, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
183203, 3618, 1375, 1716, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
183240, 3603, 1553, 1490, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
183278, 3550, 1388, 1682, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
183315, 3477, 1608, 1440, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
183353, 3478, 1571, 1726, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
183391, 3320, 1868, 1671, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
