78555, 3697, 1799, -316, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
78595, 3696, 1852, -321, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
78635, 3720, 1843, -355, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
78675, 3638, 1972, -398, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
78716, 3698, 1821, -413, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
78752, 3714, 1731, -625, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
78789, 3493, 1651, -504, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
78825, 3514, 1431, -134, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
78862, 3056, 1338, 18, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
78899, 2872, 1765, 202, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
78935, 2485, 1656, 221, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
78972, 2198, 1716, 204, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
79009, 2346, 1119, 711, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
79045, 2334, 1732, 417, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
79082, 2639, 1454, 912, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
79119, 2784, 1507, 856, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
79159, 3183, 1759, 1035, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
79200, 3377, 1805, 1016, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
79240, 3972, 2328, 1486, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
79281, 4255, 2058, 1591, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
79321, 4497, 2923, 2234, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
79362, 4615, 1183, 3087, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
79402, 3908, 3542, 200, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
79443, 3246, 2027, -88, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
79483, 4037, 2106, 875, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
79524, 3835, 4035, 1052, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
79559, 3758, 3161, 1324, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
79595, 3559, 1965, 1376, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
79630, 2984, 1580, 278, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
79666, 3807, 1199, -221, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
79701, 4383, 2103, 2997, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
79737, 4992, 3007, 4668, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
79772, 2929, 1731, 3706, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
79808, 1518, 738, 3899, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
79843, 3530, 4912, 8471, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
79879, 965, 5, 1064, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
79915, 1705, 1696, 1967, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
79955, 2288, 1634, 2146, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
79995, 2231, -192, 670, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
80036, 3879, 1017, 2255, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
80076, 4264, 2765, 58, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
80117, 3496, 1422, 2538, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
80157, 5375, 1799, 2212, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
80197, 9933, 3380, -231, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
80238, 6072, 1570, -542, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
80278, 3802, 1683, -468, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
80319, 3567, 1653, 2576, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
80358, 3181, 2249, 2033, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
80397, 2298, 2361, 1936, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
80437, 2739, 2214, 2399, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
80476, 2432, 2615, 2109, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
80516, 2557, 2413, 2427, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
