160409, 3759, 1107, -56, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
160455, 3645, 1077, -75, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
160502, 3665, 1004, 87, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
160548, 3970, 1228, 272, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
160594, 4890, 1116, -119, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
160641, 5043, 1528, 386, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
160687, 4241, 1610, 813, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
160733, 4244, 832, 343, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
160780, 3553, 532, -889, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
160814, 4331, -111, 423, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
160849, 4497, -54, 385, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
160883, 5442, 555, -51, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
160918, 4572, 899, -162, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
160952, 4423, 345, 545, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
160987, 4796, 1326, 24, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
161021, 4192, 1416, -513, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
161056, 3051, 1989, -976, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
161090, 2251, 365, 30, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
161125, 2089, 458, 493, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
161160, 1938, 1121, 8, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
161196, 2767, 1340, 680, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
161232, 2945, 1259, 970, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
161267, 2731, 1083, 503, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
161303, 2980, 939, 403, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
161339, 3576, 2205, 743, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
161375, 4207, 2242, 1338, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
161410, 3801, 1356, 793, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
161446, 2610, 2127, -816, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
161482, 3677, 2084, 1513, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
161518, 3046, 1876, 640, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
161558, 3236, 1759, 1263, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
161599, 3487, 1446, 1848, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
161640, 3585, 2177, 1445, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
161680, 3768, 1678, 1899, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
161721, 3562, 2170, 1099, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
161762, 3668, 2750, 951, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
161802, 3536, 2198, 1751, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
161843, 3894, 1903, 2442, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
161884, 4982, 4159, 2124, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
161925, 4533, 4536, 1041, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
161960, 4016, 4305, 315, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
161996, 3189, 4032, 360, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
