454035, 4096, 1071, 467, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
454080, 4036, 1259, 543, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
454125, 3991, 1124, 574, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
454171, 3968, 1220, 544, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
454204, 3968, 1424, 630, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
454238, 3855, 1534, 521, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
454272, 3876, 1534, 677, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
454305, 3736, 1528, 598, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
454339, 3879, 1751, 742, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
454373, 3821, 1924, 792, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
454406, 3652, 1592, 559, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
454440, 3679, 1388, 740, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
454474, 3823, 1243, 909, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
454508, 3675, 1152, 894, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
454545, 3673, 1018, 946, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
454582, 3645, 1050, 1041, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
454620, 3694, 1228, 1261, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
454657, 3540, 1435, 1297, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
454694, 3622, 1343, 1398, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
454732, 3735, 1474, 1229, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
454769, 3794, 1244, 1118, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
454806, 3761, 1186, 1122, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
454844, 3911, 1211, 1228, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
454881, 3964, 1356, 1228, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
454919, 4022, 1359, 1216, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
454959, 4247, 1490, 1184, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
454999, 4412, 1317, 1330, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
455039, 4153, 858, 1073, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
455079, 4484, 1068, 1390, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
455120, 4665, 2091, 696, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
455160, 5385, 1648, 1365, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
455200, 3190, 2331, 308, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
455240, 30, 37, -88, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
455280, -1177, 737, 1726, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
455321, 1014, 4089, 518, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
455356, 2060, 1591, 636, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
455391, 2545, 6, 1592, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
455426, 1477, 415, 2218, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
455461, 1350, 539, 2405, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
455496, 2114, 2524, 2145, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
455532, 1575, 1477, 2803, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
455567, 2759, 2400, 3982, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
455602, 4229, 1962, 4033, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
455637, 4639, 2011, 4660, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
455672, 3731, 1248, 3696, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
455708, 3026, 2090, 2146, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
