525367, 3867, 1218, 988, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
525405, 3848, 1182, 1011, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
525442, 3878, 1198, 1013, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
525480, 3890, 1077, 995, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
525518, 3840, 901, 960, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
525556, 4080, 869, 704, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
525593, 4097, 1098, 651, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
525631, 4313, 1022, 681, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
525669, 4555, 1321, 602, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
525707, 4870, 1275, 981, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
525746, 4887, 1716, 366, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
525786, 5151, 2138, 669, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
525825, 4009, 1429, 602, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
525865, 3690, 2321, 557, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
525904, 1152, 1329, -31, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
525944, -696, 71, 505, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
525983, 349, 2326, 203, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
526023, 1349, 2320, 530, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
526062, 1207, 1056, 1104, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
526102, 1574, 1215, 26, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
526142, 2853, 2628, 1293, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
526182, 2845, 2414, 2081, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
526222, 1780, 1756, 3461, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
526262, 1833, 843, 2178, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
526302, 4610, 2761, 2073, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
526342, 4240, 519, 4798, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
526382, 4008, 1526, 3014, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
526422, 4300, 1885, 2507, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
526462, 4187, 141, 2650, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
526503, 3185, 1534, 1997, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
526538, 4639, 1817, 2294, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
526573, 4861, 1765, 1490, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
526609, 4506, 1213, 889, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
526644, 4805, 584, 1722, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
526679, 5667, 263, 2420, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
526715, 5261, 200, 4425, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
526750, 3004, -490, 4504, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
526785, 1494, -1511, 3700, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
526821, 1792, -1654, 2768, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
526856, 2815, 2542, 3078, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
526892, 2973, -730, 2645, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
526933, 3356, 1485, 1376, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
526974, 3871, 321, 2577, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
527015, 3511, 543, 2062, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
527056, 3832, 690, 1613, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
527098, 4067, 546, 1241, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
527139, 4081, 1012, -52, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
