170051, 3708, 1538, 1325, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
170089, 3396, 1606, 1487, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
170127, 3380, 2005, 1247, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
170165, 3293, 2238, 1385, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
170203, 3253, 2076, 1412, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
170241, 3415, 2252, 1220, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
170279, 3298, 2439, 1390, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
170317, 3394, 1955, 1508, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
170355, 3342, 1367, 1556, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
170393, 3310, 1549, 1343, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
170434, 3476, 1846, 1581, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
170475, 3654, 1635, 1538, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
170516, 3783, 1798, 1614, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
170557, 3656, 2824, 950, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
170598, 3090, 1908, 944, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
170639, 3085, 2385, 369, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
170680, 2391, 2254, 392, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
170721, 2112, 1480, 676, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
170762, 2102, 1795, 882, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
170803, 2190, 2462, 876, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
170841, 1936, 2136, 1065, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
170879, 1788, 1432, 712, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
170917, 1783, 1603, 555, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
170956, 1708, 1606, 671, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
170994, 1867, 1925, 1745, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
171032, 2593, 2930, 2247, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
171071, 2880, 2057, 2223, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
171109, 3513, 1605, 2288, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
171147, 3501, 2706, 1536, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
171186, 3981, 2529, 1854, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
171222, 3873, 2296, 2225, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
171259, 3729, 3766, 2674, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
171296, 2774, 1547, 2694, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
171333, 2230, 2001, 2592, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
171370, 2551, 2640, 2777, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
171407, 2505, 2670, 2512, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
171444, 2646, 2814, 2699, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
171481, 2799, 3177, 3083, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
171518, 3098, 3585, 4790, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
171555, 2266, 3013, 4089, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
171592, 744, 2249, 3135, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
171629, 229, 1925, 2829, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
171666, 699, 1987, 3219, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
171703, 1180, 3362, 3326, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
171740, 796, 1097, 2012, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
171777, 1723, 2533, 1899, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
171814, 1876, 2538, 1747, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
171851, 2085, 1771, 2087, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
171888, 2118, 2183, 2061, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
171925, 1891, 1805, 2051, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
171962, 2074, 2110, 2322, 74, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
172005, 2409, 2168, 2230, 75, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
172048, 2883, 1770, 2678, 75, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
172091, 3226, 1881, 2117, 75, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
172134, 3637, 1793, 2221, 75, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
172177, 3680, 1713, 2017, 75, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
172220, 4169, 1423, 2000, 75, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
172263, 6381, 5123, 1443, 75, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
172306, 7818, -5011, 3270, 75, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
172349, 38, 3218, 2714, 75, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
172392, 1716, 2736, 2678, 75, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
172435, 2225, 2103, 3268, 75, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
172473, 1579, 1749, 3403, 76, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
172512, 1706, 2381, 3195, 76, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
172551, 1466, 2661, 2925, 76, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
172590, 1564, 2377, 2988, 76, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
172629, 1616, 2130, 3185, 76, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
172668, 1754, 2162, 3000, 76, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
172707, 1605, 2374, 2935, 76, af8b60b9-d59f-4b1c-9fe4-291219c50ae0, , transisi, transisi_iktidal_ke_sujud, , 
