107286, 3876, 642, 6, 101, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
107326, 3478, 895, -198, 101, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
107366, 3293, 566, -247, 101, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
107406, 3234, 673, 41, 101, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
107446, 3390, 337, 398, 101, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
107483, 3151, 396, 471, 100, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
107520, 3131, 638, 444, 100, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
107557, 3532, 992, 389, 100, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
107595, 3579, 1023, 464, 100, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
107632, 3477, 1053, 626, 100, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
107669, 3983, 372, 825, 100, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
107707, 4054, 531, 1256, 100, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
107744, 4043, 499, 1706, 100, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
107781, 3848, 1431, 1427, 100, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
107819, 3443, 2309, 1004, 100, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
107856, 3740, 2142, 1562, 100, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
107893, 3972, 2364, 1892, 100, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
107931, 3874, 2262, 1444, 100, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
107970, 3907, 2760, 511, 100, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
108009, 3412, 1558, 540, 100, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
108049, 4057, 1816, 1432, 100, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
108088, 3651, 2001, 1365, 100, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
108127, 3774, 1928, 1936, 100, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
108167, 3300, 2107, 1793, 100, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
108206, 2707, 1670, 2238, 100, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
108246, 2407, 1377, 2750, 100, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
108285, 3289, 1683, 2673, 100, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
108324, 4062, 2132, 2013, 100, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
108364, 3801, 1911, 2662, 100, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
108403, 3188, 2531, 4356, 100, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
108443, 2616, 1704, 4411, 100, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
108482, 2025, 1241, 4179, 99, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
108522, 1670, 1071, 2795, 99, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
108562, 1863, 1181, 2028, 99, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
108602, 2180, 2153, 3879, 99, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
108641, 1168, 318, 691, 99, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
108681, 3330, 1157, 2356, 99, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
108721, 2810, 1422, 1924, 99, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
108761, 3153, 357, 1647, 99, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
108800, 3545, 1184, 1408, 99, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
108840, 4147, 1032, 1722, 99, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
108880, 4409, 1618, 1680, 99, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
108920, 4215, 1289, 1016, 99, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
108960, 4286, 1404, -154, 99, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
108996, 4026, 1644, -868, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
109032, 6551, 3108, 160, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
