127286, 3336, 784, 10, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
127323, 3676, 1129, 8, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
127360, 3872, 1676, -557, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
127397, 3804, 1131, -252, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
127437, 3139, 823, 51, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
127478, 2354, 1122, -204, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
127518, 1962, 797, 632, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
127559, 1996, 633, 604, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
127599, 2623, 142, 1021, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
127640, 5115, 494, 1687, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
127680, 3379, 1695, 1548, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
127721, 2997, -96, 1772, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
127761, 2800, 28, 1389, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
127802, 3834, 870, 1842, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
127844, 4197, 1366, 2215, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
127886, 4618, 1240, 2429, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
127928, 4740, 1421, 2396, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
127970, 4486, 1635, 356, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
128012, 3917, 2907, -611, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
128054, 4343, 2140, 408, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
128096, 4190, 2343, 1476, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
128138, 4397, 1732, 2738, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
128180, 3172, 1134, 2789, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
128223, 2577, 1235, 1347, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
128261, 2649, 1609, 1898, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
128300, 4672, 1874, 2799, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
128339, 3767, 1180, 3854, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
128377, 3639, -363, 4384, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
128416, 2670, 230, 4085, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
128455, 2532, -899, 3301, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
128494, 1926, 1734, 3673, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
128532, -1030, -2805, 2068, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
128571, 2422, 64, 2153, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
128610, 2080, -637, 2347, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
128649, 3540, 1386, -330, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
128687, 5531, 1703, 1391, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
128725, 5825, 2832, 1090, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
128763, 7070, 9, 3389, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
128801, 4396, 1626, 330, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
128839, 5096, 2047, 1696, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
128877, 4219, 922, 1526, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
128915, 2723, 3319, 891, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
128953, 3978, 1641, 1629, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
128991, 2536, 1886, 2178, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
129030, 2637, 1656, 2827, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
129064, 2616, 1388, 2571, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
129098, 2590, 1623, 2930, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
129132, 2635, 1851, 2619, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
129166, 2695, 1791, 2683, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
129200, 2927, 1430, 2384, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
129235, 2712, 2038, 2518, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
129269, 2862, 1872, 2380, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
129303, 2850, 1841, 2532, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
129337, 2821, 1621, 2447, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
129371, 2941, 1672, 2428, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
129406, 2930, 1723, 2266, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
129445, 2975, 1743, 2328, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
129484, 2907, 1726, 2387, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
129523, 2770, 1884, 2505, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
129562, 2945, 1693, 2381, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
129601, 3033, 1778, 2201, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
129640, 3045, 1796, 2216, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
129679, 3111, 1718, 2220, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
129718, 2999, 1800, 2229, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
129757, 3071, 1695, 2230, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
129797, 2994, 1762, 2293, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
129838, 3000, 1808, 2268, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
129880, 3072, 1740, 2149, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
129922, 3061, 1929, 2031, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
129964, 3135, 1915, 2002, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
130006, 3117, 1763, 2007, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
130048, 3211, 1865, 1890, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
130090, 3075, 1859, 1922, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
130132, 3075, 1976, 1883, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
130174, 3197, 1572, 2245, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
130216, 3074, 1811, 2069, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
130250, 3187, 1660, 1997, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
130284, 3251, 1718, 1885, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
130318, 3354, 1669, 1743, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
130352, 3410, 1755, 1725, 86, b470b2bd-2664-4680-8a76-5c16035c2af9, , transisi, transisi_iktidal_ke_sujud, , 
