61278, 3860, 1332, 437, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
61313, 4170, 1587, 73, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
61348, 4118, 1541, 320, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
61383, 4685, 1708, 975, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
61418, 5390, 1929, 792, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
61461, 5454, 2743, 10, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
61504, 4703, 1856, 409, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
61547, 2536, 2344, -417, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
61591, 903, 2199, -554, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
61634, -383, -59, 59, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
61677, -165, 469, 344, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
61721, -165, 97, 843, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
61764, 135, -39, 1216, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
61807, 1259, 1538, 2037, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
61851, 2460, 2335, 2579, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
61890, 2107, 3105, 2490, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
61930, 2833, 2312, 2765, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
61970, 2677, 1460, 3637, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
62009, 3135, 2403, 3517, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
62049, 4129, 4480, 3893, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
62089, 3441, 2227, 2917, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
62128, 3631, 3294, 3100, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
62168, 3886, 2189, 2814, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
62208, 4079, 1972, 2722, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
62248, 3284, 880, 2343, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
62281, 4655, 2158, 3694, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
62315, 5683, 3070, 3155, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
62348, 3474, 3085, 2232, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
62382, 2184, 1414, 2931, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
62415, 1670, 962, 2932, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
62449, 999, 891, 2007, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
62482, 5712, 7519, 9564, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
62516, -1809, -2378, 718, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
62549, 2729, 101, 414, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
62583, 4440, 715, 354, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
62617, 6571, 473, 938, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
62657, 3401, 1986, 3883, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
62698, 6453, 614, 3856, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
62738, 5061, 2372, 1869, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
62779, 4377, 1716, 288, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
62819, 4842, 2814, 159, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
