131085, 4351, 1094, -1779, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
131126, 3657, 1871, -2567, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
131168, 3754, 753, -2036, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
131209, 3832, -1229, -1004, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
131250, 4369, 514, -229, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
131291, 4884, 1423, 418, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
131332, 4828, -794, 869, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
131374, 3315, -1402, 495, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
131411, 3384, 250, -312, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
131449, 3740, 379, 403, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
131487, 5170, 1282, 1729, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
131524, 6639, 3392, 1493, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
131562, 4477, 1240, 741, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
131600, 1305, 366, -1447, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
131638, -391, -411, -1642, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
131675, 254, -1542, -152, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
131713, 1439, -2384, 1819, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
131751, 1869, -633, 1290, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
131789, 2844, 2446, 2166, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
131826, 2798, 1432, 1594, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
131863, 3620, 2635, 462, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
131900, 4843, 4847, 2062, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
131938, 4596, 4579, 3568, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
131975, 2233, 919, 886, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
132012, 2958, 2288, 3371, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
132050, 2567, 2351, 2483, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
132087, 2952, 2464, 1824, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
132124, 2532, 2680, 2629, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
132162, 2484, 3501, 2475, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
132200, 2709, 3624, 3200, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
132238, 2448, 3728, 3739, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
132276, 3070, 2710, 3590, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
132315, 3986, 915, 4111, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
132353, 3423, 404, 3387, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
132391, 2773, 2130, 2316, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
132429, 1573, 2007, 1840, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
132468, 971, 348, 2468, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
132506, 7170, 8061, 8597, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
132544, -1179, -1579, 1662, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
132583, 2224, 845, 1504, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
132620, 3341, 1584, 1417, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
132658, 3809, 739, 1818, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
132695, 3374, 968, 1792, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
132733, 3419, 1426, 1723, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
132770, 4082, 1194, 1554, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
132808, 4525, 1985, 1726, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
132845, 4756, 2385, 786, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
132883, 5870, 2906, 364, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
132920, 7185, -1444, 12297, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
132958, 2039, 205, 2185, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
133002, 2254, 438, 2892, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
133047, 3017, 1057, 3072, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
133092, 2660, 966, 3260, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
133137, 2566, 1171, 3007, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
133182, 2483, 1278, 3166, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
133227, 2513, 1127, 3220, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
133272, 2782, 940, 2882, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
133317, 2498, 1283, 3191, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
133362, 2608, 1168, 3148, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
133407, 2635, 1111, 3043, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
133441, 2485, 1353, 3076, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
133476, 2517, 1258, 3041, 97, 72120534-68e4-43e5-8c2d-c58117916679, , transisi, transisi_iktidal_ke_sujud, , 
