353404, 3945, 555, 7, 76, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
353446, 4015, 647, 106, 76, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
353488, 3958, 686, 360, 76, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
353530, 4017, 787, 603, 76, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
353573, 4103, 921, 744, 76, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
353615, 4088, 954, 820, 76, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
353657, 4023, 1119, 826, 76, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
353699, 4036, 1338, 636, 76, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
353741, 3987, 1253, 464, 76, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
353784, 3925, 1137, 393, 76, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
353817, 3951, 1087, 373, 76, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
353851, 3979, 1067, 327, 76, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
353884, 3985, 1092, 365, 76, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
353918, 3978, 1139, 429, 76, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
353951, 3966, 1028, 503, 76, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
353985, 3992, 912, 540, 76, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
354018, 4001, 930, 537, 76, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
354052, 3972, 1057, 500, 76, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
354085, 3964, 1124, 439, 76, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
354119, 3940, 1115, 380, 76, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
354155, 3935, 1138, 385, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
354192, 3966, 1167, 397, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
354229, 4017, 1164, 426, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
354266, 3967, 1150, 453, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
354303, 3955, 1115, 465, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
354339, 3962, 1097, 435, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
354376, 3959, 1125, 402, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
354413, 3976, 1172, 467, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
354450, 3982, 1165, 415, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
354487, 3974, 1142, 410, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
354524, 3970, 1132, 436, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
354563, 3969, 1113, 405, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
354603, 3975, 1119, 392, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
354643, 3989, 1126, 382, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
354683, 3943, 1135, 404, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
354723, 3964, 1135, 420, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
354763, 3960, 1129, 393, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
354803, 3962, 1140, 396, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
354843, 3940, 1164, 445, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
354883, 3938, 1137, 408, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
354923, 3944, 1104, 410, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
354959, 3932, 1091, 394, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
