404985, 4143, 792, -138, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
405023, 4085, 738, -185, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
405060, 4077, 684, -242, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
405098, 4048, 628, -240, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
405135, 4048, 628, -249, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
405173, 4057, 715, -255, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
405210, 4072, 706, -230, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
405248, 4076, 622, -168, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
405290, 4104, 580, -167, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
405332, 4088, 591, -175, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
405374, 4103, 588, -158, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
405416, 4053, 607, -209, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
405458, 4077, 612, -192, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
405500, 4054, 635, -184, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
405542, 4074, 655, -201, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
405584, 4116, 671, -199, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
405626, 4092, 665, -139, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
405669, 4106, 636, -158, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
405701, 4058, 647, -167, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
