54676, 4347, -885, -432, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
54720, 4249, -1029, -64, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
54765, 4160, -302, 172, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
54810, 4031, 802, -104, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
54855, 4053, 1008, -233, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
54900, 4027, 1205, -240, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
54945, 4050, 1258, -229, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
54990, 4079, 985, -59, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
55035, 4117, 503, 85, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
55080, 4046, 376, 36, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
55125, 4157, 296, -13, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
55156, 4132, 432, -111, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
55188, 4117, 422, -32, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
55219, 4119, 439, -27, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
55251, 4100, 517, -24, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
55283, 4064, 706, -106, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
55314, 3965, 1231, -342, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
55346, 4169, 846, 108, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
55378, 4102, 972, 194, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
55409, 4021, 962, 23, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
55441, 4098, 1081, 11, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
55473, 4150, 536, 62, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
55514, 4051, 1297, -135, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
55556, 4048, 718, -37, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
55598, 3869, 1467, -6, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
55639, 4077, 762, -2, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
55681, 3964, 1156, 48, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
55723, 3977, 1531, 27, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
55764, 3967, 1282, 223, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
55806, 4016, 1070, 300, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
55848, 3927, 1147, 276, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
55890, 3915, 1114, 353, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
55927, 3824, 1288, 242, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
55965, 3806, 1208, 255, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
56003, 3777, 1146, 353, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
56041, 3818, 1284, 340, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
56079, 3793, 1427, 323, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
56116, 3799, 1443, 298, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
56154, 3806, 1522, 188, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
56192, 3805, 1787, 127, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
56230, 3810, 1889, 187, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
56268, 3819, 1829, 236, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
56304, 3737, 1805, 181, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
56341, 3631, 1794, 176, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
56377, 3655, 1749, 147, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
56414, 3734, 1742, 127, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
56450, 3794, 1707, 55, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
56487, 3957, 1720, -62, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
56523, 3966, 1777, -169, 85, d132ab05-b4ad-40af-93cc-c201b2d8f4a7, , iktidal, iktidal_tanpa_bersedekap, , 
