92399, 4015, -486, -915, 95, ea16af59-d72b-47bb-b3bc-74fd98cde270, , iktidal, iktidal_tanpa_bersedekap, , 
92433, 4019, -264, -831, 95, ea16af59-d72b-47bb-b3bc-74fd98cde270, , iktidal, iktidal_tanpa_bersedekap, , 
92472, 4030, -106, -812, 95, ea16af59-d72b-47bb-b3bc-74fd98cde270, , iktidal, iktidal_tanpa_bersedekap, , 
92511, 4076, -43, -808, 95, ea16af59-d72b-47bb-b3bc-74fd98cde270, , iktidal, iktidal_tanpa_bersedekap, , 
92550, 4075, -94, -783, 95, ea16af59-d72b-47bb-b3bc-74fd98cde270, , iktidal, iktidal_tanpa_bersedekap, , 
92589, 4059, -282, -817, 95, ea16af59-d72b-47bb-b3bc-74fd98cde270, , iktidal, iktidal_tanpa_bersedekap, , 
92628, 4047, -338, -845, 95, ea16af59-d72b-47bb-b3bc-74fd98cde270, , iktidal, iktidal_tanpa_bersedekap, , 
92667, 4019, -245, -843, 95, ea16af59-d72b-47bb-b3bc-74fd98cde270, , iktidal, iktidal_tanpa_bersedekap, , 
92706, 4058, -201, -749, 95, ea16af59-d72b-47bb-b3bc-74fd98cde270, , iktidal, iktidal_tanpa_bersedekap, , 
92745, 4102, -212, -726, 95, ea16af59-d72b-47bb-b3bc-74fd98cde270, , iktidal, iktidal_tanpa_bersedekap, , 
92784, 4200, -287, -324, 95, ea16af59-d72b-47bb-b3bc-74fd98cde270, , iktidal, iktidal_tanpa_bersedekap, , 
