291342, 3975, 1096, 169, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
291377, 3947, 1366, 43, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
291412, 3975, 1362, 85, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
291447, 3968, 1321, 95, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
291488, 3965, 1068, 184, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
291529, 3964, 1080, 197, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
291570, 4035, 921, 164, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
291611, 4013, 950, 152, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
291653, 4005, 914, 196, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
291694, 4042, 900, 249, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
291735, 3987, 1037, 231, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
291776, 4015, 1082, 181, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
291818, 4005, 1115, 160, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
291859, 4025, 1102, 122, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
291900, 3959, 1249, 139, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
291941, 4017, 1279, 187, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
291983, 3978, 1268, 306, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
292017, 3925, 1307, 428, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
292052, 3944, 1208, 351, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
292086, 3908, 1353, 441, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
292121, 3916, 1361, 348, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
292155, 3928, 1322, 253, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
292190, 3984, 1605, 334, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
292224, 3872, 1002, 549, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
292259, 3917, 1280, 488, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
292293, 3901, 1493, 327, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
292328, 3899, 1347, 328, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
292362, 3845, 1440, 287, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
292397, 3820, 1272, 312, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
292432, 3825, 1254, 325, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
292472, 3775, 1210, 460, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
292512, 3927, 1326, 644, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
292552, 3785, 1690, 863, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
292592, 3792, 1551, 952, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
292632, 3890, 1353, 942, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
292672, 3782, 1657, 505, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
292712, 3804, 1346, 475, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
292752, 3817, 1521, 397, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
292792, 3837, 1574, 514, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
292832, 3785, 1527, 622, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
292872, 3796, 1614, 690, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
292912, 3789, 1506, 675, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
292952, 3827, 1610, 587, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
292989, 3811, 1492, 612, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
293027, 3756, 1590, 593, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
293065, 3792, 1522, 647, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
293103, 3756, 1599, 595, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
293141, 3770, 1549, 626, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
293179, 3784, 1583, 588, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
293216, 3741, 1579, 627, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
293254, 3776, 1586, 643, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
293292, 3777, 1585, 553, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
293330, 3770, 1397, 568, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
293368, 3913, 1496, 725, 88, 0ef09bca-5d39-4d86-a593-d25bf250fdb5, , iktidal, iktidal_tanpa_bersedekap, , 
