154394, 3982, 1655, -334, 107, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
154434, 3972, 1604, -313, 107, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
154474, 3968, 1524, -394, 107, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
154515, 3943, 1342, -464, 107, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
154555, 3915, 1188, -465, 107, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
154596, 3904, 1146, -487, 107, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
154636, 3903, 1125, -424, 107, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
154676, 3934, 1057, -405, 107, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
154717, 3954, 1062, -369, 107, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
154757, 3948, 1128, -378, 107, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
154798, 3945, 1223, -402, 107, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
154837, 3900, 1270, -439, 107, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
154877, 3912, 1260, -448, 107, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
154917, 3919, 1236, -427, 107, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
154956, 3933, 1205, -393, 107, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
154996, 3939, 1148, -406, 107, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
155036, 3952, 1141, -394, 107, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
155075, 3950, 1165, -392, 107, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
155115, 3942, 1218, -409, 107, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
155155, 3901, 1209, -408, 107, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
155195, 3920, 1233, -374, 107, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
155233, 3918, 1194, -410, 109, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
155271, 3958, 1205, -375, 109, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
155310, 3950, 1173, -360, 109, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
155348, 3911, 1206, -395, 109, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
155387, 3955, 1194, -396, 109, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
155425, 3910, 1173, -400, 109, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
155464, 3930, 1165, -416, 109, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
155502, 3936, 1173, -392, 109, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
155541, 3936, 1180, -373, 109, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
155579, 3941, 1176, -364, 109, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
155618, 3927, 1214, -377, 109, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
155656, 3944, 1204, -373, 109, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
155694, 3913, 1241, -384, 109, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
155732, 3952, 1199, -382, 109, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
155770, 3937, 1173, -391, 109, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
155808, 3955, 1159, -394, 109, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
155846, 3939, 1151, -365, 109, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
155884, 3971, 1157, -346, 109, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
155922, 3940, 1180, -358, 109, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
