45439, 4414, -562, -177, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
45481, 4030, -107, -7, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
45524, 3796, 565, -233, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
45567, 3962, 1151, -95, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
45609, 3871, 1399, 47, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
45652, 4003, 1631, 210, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
45695, 4029, 1560, 407, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
45737, 4038, 1157, 636, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
45780, 4051, 818, 531, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
45823, 4055, 824, 213, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
45866, 4011, 1889, -112, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
45904, 3975, 1101, 604, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
45942, 3954, 1238, 732, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
45980, 4027, 907, 769, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
46019, 4028, 1006, 757, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
46057, 3973, 928, 819, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
46095, 3934, 1154, 833, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
46134, 3985, 1110, 816, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
46172, 3886, 1277, 629, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
46210, 3829, 1353, 632, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
46249, 3807, 1411, 640, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
46285, 3804, 1444, 644, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
46322, 3773, 1192, 617, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
46359, 3776, 1228, 703, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
46395, 3779, 1067, 804, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
46432, 3812, 1332, 840, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
