188690, 3567, 1448, -1508, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
188725, 3463, 1444, -1530, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
188760, 3417, 1664, -1445, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
188796, 3399, 1904, -1442, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
188836, 3276, 2071, -1646, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
188876, 3294, 1834, -1635, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
188916, 3273, 1806, -1661, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
188956, 3343, 1753, -1650, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
188997, 3336, 1782, -1638, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
189037, 3403, 1684, -1618, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
189077, 3390, 1567, -1635, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
189117, 3408, 1754, -1636, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
189157, 3449, 1660, -1601, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
189198, 3432, 1652, -1646, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
189235, 3374, 1689, -1647, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
189273, 3331, 1777, -1616, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
189310, 3352, 1750, -1540, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
189348, 3354, 1709, -1593, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
189385, 3404, 1708, -1592, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
189423, 3410, 1747, -1627, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
189460, 3383, 1703, -1609, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
189498, 3394, 1651, -1614, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
189535, 3376, 1681, -1652, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
189573, 3371, 1729, -1579, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
189611, 3394, 1715, -1605, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
189649, 3400, 1660, -1629, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
189687, 3372, 1692, -1609, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
189725, 3377, 1716, -1604, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
189764, 3369, 1707, -1635, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
189802, 3423, 1698, -1553, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
189840, 3320, 1696, -1644, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
189879, 3400, 1677, -1614, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
189917, 3366, 1652, -1648, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
189955, 3341, 1699, -1631, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
189994, 3376, 1709, -1620, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
190034, 3386, 1728, -1631, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
190074, 3394, 1656, -1594, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
190115, 3367, 1654, -1626, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
190155, 3398, 1701, -1622, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
190196, 3346, 1755, -1601, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
190236, 3350, 1727, -1615, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
190276, 3367, 1680, -1663, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
190317, 3345, 1760, -1609, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
