302663, 3756, 1053, 109, 96, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
302708, 3821, 1103, -56, 96, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
302753, 4024, 852, -417, 96, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
302789, 4060, 668, -1030, 96, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
302825, 4035, 497, -1400, 96, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
302862, 4065, 689, -1166, 96, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
302898, 4033, 850, -961, 96, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
302935, 3937, 917, -846, 96, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
302971, 3913, 879, -694, 96, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
303007, 3974, 820, -682, 96, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
303044, 3994, 780, -728, 96, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
303080, 4011, 740, -819, 96, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
303117, 3993, 741, -805, 96, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
303153, 4001, 734, -705, 96, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
303190, 3970, 718, -654, 96, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
