168013, 3422, 1517, 734, 75, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
168050, 3284, 1494, 697, 75, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
168087, 3666, 1757, 1581, 75, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
168125, 3739, 1902, 1223, 75, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
168162, 3455, 2349, 585, 75, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
168199, 3911, 2243, 729, 75, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
168236, 3692, 1097, 667, 75, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
168274, 3868, 1156, 1424, 75, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
168311, 3587, 1500, 1173, 75, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
168348, 3491, 1613, 953, 75, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
168386, 3435, 1526, 1066, 75, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
168427, 3510, 1998, 1144, 75, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
168469, 3549, 1612, 807, 75, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
168511, 3599, 2447, 926, 75, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
168553, 3482, 2259, 773, 75, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
168595, 3796, 2163, 821, 75, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
168636, 3703, 1740, 692, 75, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
168678, 3624, 1614, 704, 75, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
168720, 3650, 1584, 869, 75, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
168762, 3631, 1865, 762, 75, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
168804, 3664, 1844, 875, 75, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
168839, 3661, 1762, 866, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
168874, 3617, 1743, 879, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
168909, 3722, 1645, 981, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
168944, 3739, 1305, 1027, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
168979, 3649, 1690, 1245, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
169014, 3583, 1975, 1078, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
169049, 3612, 1959, 1091, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
169084, 3386, 2174, 913, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
169119, 3338, 2156, 787, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
169155, 3284, 2081, 887, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
169191, 3474, 1620, 1264, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
