22633, 4106, -316, -248, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
22678, 4136, -190, -238, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
22722, 4127, -204, -244, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
22767, 4131, -274, -244, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
22812, 4141, -350, -284, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
22856, 4126, -346, -277, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
22901, 4133, -335, -262, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
22946, 4097, -345, -273, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
22991, 4144, -328, -251, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
23021, 4152, -287, -273, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
23052, 4090, -272, -263, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
23083, 4117, -347, -267, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
23114, 4098, -330, -267, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
23145, 4107, -347, -284, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
23176, 4123, -338, -273, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
23207, 4154, -286, -272, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
23238, 4119, -277, -308, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
23269, 4113, -307, -268, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
23300, 4114, -318, -249, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
23331, 4111, -371, -264, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
23372, 4111, -296, -300, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
23413, 4127, -312, -312, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
23454, 4122, -304, -301, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
