62133, 3940, 1716, 720, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
62174, 3900, 1642, 638, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
62214, 3882, 1606, 365, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
62254, 3829, 1609, 122, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
62295, 3888, 1574, -12, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
62335, 3818, 1604, -43, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
62375, 3804, 1504, -66, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
62416, 3869, 1410, -12, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
62452, 3891, 1326, 58, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
62488, 3900, 1337, 74, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
62524, 3893, 1389, 132, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
62560, 3914, 1386, 136, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
62596, 3873, 1423, 153, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
62632, 3887, 1433, 139, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
62668, 3803, 1542, 217, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
62704, 3839, 1657, 222, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
62740, 3836, 1654, 246, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
62776, 3878, 1711, 374, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
62813, 3874, 1679, 403, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
62851, 3856, 1640, 374, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
62890, 3831, 1802, 360, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
62928, 3861, 1597, 320, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
62967, 3798, 1819, 289, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
63005, 3798, 1748, 253, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
63044, 3743, 1661, 275, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
63082, 3683, 1662, 256, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
63121, 3513, 1660, 259, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
63159, 3614, 1655, 335, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
63198, 3653, 1766, 325, 61, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
63238, 3654, 1919, 351, 63, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
63278, 3636, 1865, 389, 63, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
63318, 3679, 1832, 413, 63, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
63358, 3694, 1815, 513, 63, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
63398, 3650, 1848, 483, 63, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
63438, 3687, 1852, 429, 63, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
63478, 3644, 1666, 236, 63, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
63518, 3712, 1580, 369, 63, 16e17e3a-90e5-4720-a7bd-7c63a483a022, , iktidal, iktidal_tanpa_bersedekap, , 
