131759, 3947, 1125, -246, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
131799, 3974, 1248, -176, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
131840, 3892, 1417, -137, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
131880, 3983, 1212, -99, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
131921, 3918, 1357, -172, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
131958, 3828, 1479, -157, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
131995, 3870, 1506, -138, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
132033, 3857, 1336, -94, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
132070, 3847, 1388, -127, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
132107, 3875, 1507, -116, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
132145, 3855, 1476, -131, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
132182, 3801, 1487, -126, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
132219, 3829, 1528, -128, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
132257, 3814, 1561, -138, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
132294, 3821, 1571, -134, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
132332, 3830, 1606, -118, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
132372, 3832, 1602, -135, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
132412, 3827, 1585, -107, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
132452, 3823, 1573, -126, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
132493, 3818, 1574, -145, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
132533, 3795, 1540, -148, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
132573, 3812, 1555, -135, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
132614, 3807, 1588, -100, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
132654, 3830, 1572, -143, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
132694, 3823, 1553, -128, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
132735, 3831, 1566, -126, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
132771, 3789, 1546, -110, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
132807, 3796, 1591, -124, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
132843, 3861, 1628, -127, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
132879, 3803, 1611, -109, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
132915, 3805, 1572, -122, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
132952, 3811, 1563, -119, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
132988, 3805, 1604, -127, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
133024, 3800, 1618, -115, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
133060, 3780, 1608, -140, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
133096, 3825, 1587, -95, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
133133, 3802, 1574, -116, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
133172, 3835, 1576, -127, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
133212, 3812, 1597, -125, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
133252, 3806, 1616, -104, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
133292, 3784, 1615, -119, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
133332, 3832, 1614, -123, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
133371, 3802, 1585, -122, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
133411, 3814, 1550, -119, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
133451, 3812, 1553, -122, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
133491, 3816, 1579, -117, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
133531, 3828, 1602, -120, 104, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
133576, 3811, 1622, -125, 107, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
133621, 3802, 1588, -112, 107, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
133666, 3813, 1536, -116, 107, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
133711, 3828, 1597, -107, 107, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
133757, 3805, 1625, -123, 107, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
133802, 3811, 1603, -115, 107, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
133847, 3802, 1604, -102, 107, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
133892, 3791, 1645, -85, 107, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
133937, 3808, 1634, -105, 107, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
133983, 3808, 1629, -111, 107, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
134014, 3781, 1647, -97, 107, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
134046, 3783, 1628, -87, 107, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
134078, 3792, 1622, -111, 107, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
134110, 3795, 1654, -131, 107, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
134142, 3757, 1665, -151, 107, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
134174, 3766, 1570, -113, 107, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
134206, 3798, 1586, -77, 107, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
134238, 3822, 1637, -65, 107, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
134270, 3830, 1682, -54, 107, dcce755c-0b3b-44a9-b30d-226181dedbf3, , iktidal, iktidal_tanpa_bersedekap, , 
