199258, 4205, 833, 510, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
199292, 4142, 868, 663, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
199334, 4089, 571, 706, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
199376, 4093, 365, 663, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
199418, 4009, 516, 457, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
199460, 4042, 694, 380, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
199502, 4046, 785, 334, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
199544, 4053, 880, 365, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
199586, 4059, 864, 434, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
199628, 4041, 834, 473, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
199670, 4023, 783, 467, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
199712, 4045, 747, 421, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
199746, 4036, 750, 387, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
199780, 4049, 736, 425, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
199814, 4035, 740, 405, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
199848, 4050, 754, 420, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
199882, 4056, 800, 413, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
199917, 4055, 794, 383, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
199951, 4036, 760, 381, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
199985, 4041, 756, 405, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
200019, 4031, 752, 396, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
200053, 4044, 742, 370, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
200088, 4058, 726, 418, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
200129, 4029, 749, 441, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
200171, 4055, 767, 416, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
200212, 4056, 774, 399, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
200254, 4037, 766, 391, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
200295, 4056, 773, 394, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
200337, 4059, 785, 396, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
200378, 4059, 754, 413, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
200420, 4057, 759, 423, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
200461, 4068, 759, 400, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
200503, 4047, 767, 394, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
200541, 4033, 753, 395, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
200579, 4050, 769, 387, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
200617, 4043, 764, 400, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
200656, 4047, 749, 404, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
200694, 4034, 771, 376, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
200732, 4044, 766, 412, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
200771, 4047, 731, 420, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
200809, 4052, 729, 396, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
200847, 4076, 749, 395, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
200886, 4044, 777, 389, 81, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
200927, 4056, 773, 411, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
200968, 4054, 750, 403, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
201010, 4065, 749, 399, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
201051, 4041, 759, 411, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
201093, 4039, 758, 409, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
201134, 4053, 748, 391, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
201176, 4060, 757, 383, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
201217, 4074, 741, 398, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
201259, 4033, 769, 406, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
201300, 4040, 763, 398, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
