53778, 4163, 303, -298, 46, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
53812, 4204, -91, -156, 46, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
53846, 4186, -374, -255, 46, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
53880, 4148, -231, -468, 46, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
53913, 4136, 91, -494, 46, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
53947, 4125, 208, -366, 46, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
53981, 4049, 366, -459, 46, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
54015, 4049, 240, -453, 46, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
54049, 4153, 64, -361, 46, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
54083, 4150, -26, -381, 46, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
54125, 4102, 44, -398, 46, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
54167, 4091, 113, -374, 46, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
54209, 4079, 180, -414, 46, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
54252, 4122, 100, -421, 46, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
54294, 4126, 100, -453, 46, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
