114673, 3589, 2359, -884, 74, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
114714, 3980, 2708, -917, 74, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
114755, 4600, 1580, -500, 74, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
114797, 4868, 1114, -278, 74, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
114842, 4997, 1759, 1142, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
114887, 8439, -8739, 941, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
114932, 4558, 2004, -143, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
114978, 4073, 678, -445, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
115023, 4684, 980, 120, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
115068, 4507, 1609, 129, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
115114, 4242, 1444, -99, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
115159, 3570, 1675, -319, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
115204, 3101, 1441, -317, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
115250, 3077, 1471, -280, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
115280, 3150, 1645, -188, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
115310, 3331, 1656, 3, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
115341, 3542, 1705, 105, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
115371, 3601, 1661, 164, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
115402, 3692, 1671, 212, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
