112686, 4084, -550, -400, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
112723, 4069, -501, -412, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
112759, 4101, -338, -358, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
112795, 4103, -244, -376, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
112832, 4122, -131, -344, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
112868, 4126, -152, -336, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
112904, 4104, -182, -349, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
112941, 4121, -209, -342, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
112977, 4097, -238, -405, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
113014, 4159, -255, -390, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
113054, 4121, -352, -259, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
113094, 4118, -306, -323, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
113135, 4092, -221, -298, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
113175, 4118, -196, -347, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
113216, 4125, -158, -361, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
113256, 4130, -228, -363, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
113296, 4133, -207, -359, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
113337, 4145, -256, -320, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
113377, 4141, -259, -326, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
113418, 4107, -150, -379, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
113457, 4115, -366, -210, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
113497, 4058, -256, -359, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
113537, 4116, -236, -365, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
113577, 4061, -315, -308, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
113617, 4099, -280, -347, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
113657, 4129, -318, -309, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
113697, 4104, -279, -267, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
113737, 4102, -298, -246, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
113777, 4113, -246, -286, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
113817, 4120, -205, -281, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
113854, 4143, -239, -268, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
113892, 4096, -130, -285, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
113929, 4093, -190, -189, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
113967, 4087, -150, -210, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
114005, 4170, -41, -253, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
114042, 4137, -93, -299, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
114080, 4160, 29, -283, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
114118, 4080, -181, -167, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
114155, 4127, -142, -259, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
114193, 4169, 46, -432, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
114231, 4244, -129, -234, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
114269, 4178, -247, -70, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
114308, 4152, -164, -104, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
114347, 4211, -110, -44, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
114385, 4113, -46, -174, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
114424, 4212, -24, -256, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
