93097, 4201, 986, -585, 76, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
93137, 4648, 829, -1074, 76, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
93178, 6542, 136, 6400, 76, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
93219, 3775, -4565, 1585, 76, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
93260, 3429, -146, 156, 76, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
93301, 4015, 75, -619, 76, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
93339, 4420, -1239, -193, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
93377, 4362, -783, -137, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
93415, 4265, -368, 114, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
93454, 4175, 970, -462, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
93492, 3942, 793, -561, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
93530, 4039, 766, -546, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
93569, 4127, 703, -312, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
93607, 4094, 397, -47, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
93645, 4305, 24, 38, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
93684, 4083, 212, -148, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
93721, 4162, 225, -248, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
93758, 4173, 259, -203, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
93795, 4112, 277, -309, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
93832, 4044, 457, -359, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
93869, 4164, 327, -147, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
93906, 4025, 479, -464, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
93943, 4128, 553, -203, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
93980, 4421, 558, 13, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
94017, 4039, 1191, -324, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
94054, 4103, 502, 112, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
94092, 4150, 587, -146, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
94133, 4060, 655, -198, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
94175, 4039, 620, -245, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
94216, 4006, 735, -326, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
94258, 4048, 558, -202, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
94300, 4068, 484, -187, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
94341, 4066, 622, -36, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
94383, 4055, 719, 111, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
94424, 4033, 653, 313, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
94466, 4017, 919, 348, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
94508, 4025, 1013, 183, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
94544, 3987, 1069, 45, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
94580, 4042, 1124, -41, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
94616, 4029, 1055, -21, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
94652, 4010, 1078, 1, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
94688, 4000, 1060, 120, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
94724, 4012, 963, 42, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
94760, 4023, 1340, 87, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
94796, 4040, 1268, 209, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
94832, 4076, 1299, 310, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
94869, 4049, 1085, 321, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
94907, 4013, 1241, 220, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
94945, 3963, 1625, 175, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
94983, 3966, 1092, 224, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
95021, 3898, 1630, 37, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
95059, 3812, 1199, -119, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
95097, 3832, 1333, 70, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
95135, 3848, 1012, 260, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
95173, 3770, 1054, 349, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
95211, 3809, 1264, 433, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
95249, 3888, 1276, 672, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
95288, 3861, 1266, 784, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
95331, 3840, 1118, 654, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
95375, 3879, 932, 827, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
95419, 3851, 1305, 741, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
95462, 3947, 1293, 576, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
95506, 4091, 1741, 723, 75, cc717196-4d33-481f-afc9-2fb12135b074, , iktidal, iktidal_tanpa_bersedekap, , 
