278691, 3739, 859, -893, 94, 55b64a9c-d0ce-4a5c-ad1c-505e3fc0d634, , iktidal, iktidal_tanpa_bersedekap, , 
278730, 3721, 1003, -775, 94, 55b64a9c-d0ce-4a5c-ad1c-505e3fc0d634, , iktidal, iktidal_tanpa_bersedekap, , 
278769, 3821, 647, -926, 94, 55b64a9c-d0ce-4a5c-ad1c-505e3fc0d634, , iktidal, iktidal_tanpa_bersedekap, , 
278808, 4091, 417, -1291, 94, 55b64a9c-d0ce-4a5c-ad1c-505e3fc0d634, , iktidal, iktidal_tanpa_bersedekap, , 
278846, 4114, 346, -1202, 94, 55b64a9c-d0ce-4a5c-ad1c-505e3fc0d634, , iktidal, iktidal_tanpa_bersedekap, , 
278885, 4304, 500, -915, 94, 55b64a9c-d0ce-4a5c-ad1c-505e3fc0d634, , iktidal, iktidal_tanpa_bersedekap, , 
278923, 4084, 516, -747, 94, 55b64a9c-d0ce-4a5c-ad1c-505e3fc0d634, , iktidal, iktidal_tanpa_bersedekap, , 
278962, 4134, 486, -879, 94, 55b64a9c-d0ce-4a5c-ad1c-505e3fc0d634, , iktidal, iktidal_tanpa_bersedekap, , 
279001, 3615, -531, -1921, 94, 55b64a9c-d0ce-4a5c-ad1c-505e3fc0d634, , iktidal, iktidal_tanpa_bersedekap, , 
279039, 3856, -376, -243, 94, 55b64a9c-d0ce-4a5c-ad1c-505e3fc0d634, , iktidal, iktidal_tanpa_bersedekap, , 
279078, 4047, -175, -77, 94, 55b64a9c-d0ce-4a5c-ad1c-505e3fc0d634, , iktidal, iktidal_tanpa_bersedekap, , 
279117, 4487, -612, -44, 94, 55b64a9c-d0ce-4a5c-ad1c-505e3fc0d634, , iktidal, iktidal_tanpa_bersedekap, , 
279155, 4389, -693, -265, 94, 55b64a9c-d0ce-4a5c-ad1c-505e3fc0d634, , iktidal, iktidal_tanpa_bersedekap, , 
279194, 4597, -630, -436, 94, 55b64a9c-d0ce-4a5c-ad1c-505e3fc0d634, , iktidal, iktidal_tanpa_bersedekap, , 
279233, 4246, -654, -655, 94, 55b64a9c-d0ce-4a5c-ad1c-505e3fc0d634, , iktidal, iktidal_tanpa_bersedekap, , 
279271, 4427, 149, -262, 94, 55b64a9c-d0ce-4a5c-ad1c-505e3fc0d634, , iktidal, iktidal_tanpa_bersedekap, , 
279310, 4349, -40, 87, 94, 55b64a9c-d0ce-4a5c-ad1c-505e3fc0d634, , iktidal, iktidal_tanpa_bersedekap, , 
279348, 4464, 61, -690, 94, 55b64a9c-d0ce-4a5c-ad1c-505e3fc0d634, , iktidal, iktidal_tanpa_bersedekap, , 
279387, 4101, 576, -1093, 94, 55b64a9c-d0ce-4a5c-ad1c-505e3fc0d634, , iktidal, iktidal_tanpa_bersedekap, , 
279425, 4125, 546, -1309, 94, 55b64a9c-d0ce-4a5c-ad1c-505e3fc0d634, , iktidal, iktidal_tanpa_bersedekap, , 
279464, 3697, 1026, -1873, 94, 55b64a9c-d0ce-4a5c-ad1c-505e3fc0d634, , iktidal, iktidal_tanpa_bersedekap, , 
279502, 3199, 1009, -1844, 94, 55b64a9c-d0ce-4a5c-ad1c-505e3fc0d634, , iktidal, iktidal_tanpa_bersedekap, , 
279541, 3774, 1053, -1717, 94, 55b64a9c-d0ce-4a5c-ad1c-505e3fc0d634, , iktidal, iktidal_tanpa_bersedekap, , 
279579, 3373, 781, -1470, 94, 55b64a9c-d0ce-4a5c-ad1c-505e3fc0d634, , iktidal, iktidal_tanpa_bersedekap, , 
