81394, 4027, 554, -344, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
81429, 4118, 495, -354, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
81464, 4138, 478, -341, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
81500, 4070, 516, -302, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
81535, 4134, 490, -294, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
81570, 4026, 609, -297, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
81605, 4070, 647, -334, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
81641, 4090, 656, -349, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
81676, 4054, 670, -342, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
81711, 4083, 523, -275, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
81747, 4092, 563, -286, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
81789, 4102, 532, -326, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
81832, 4096, 543, -312, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
81874, 4054, 606, -294, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
81917, 4093, 577, -278, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
81960, 4099, 581, -302, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
82002, 4081, 557, -306, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
82045, 4096, 605, -292, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
82087, 4094, 581, -288, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
82130, 4058, 613, -322, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
82173, 4094, 547, -289, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
82211, 4110, 635, -301, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
82250, 4114, 597, -309, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
82289, 4078, 604, -308, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
82327, 4074, 545, -279, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
82366, 4071, 567, -270, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
82405, 4083, 611, -327, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
82444, 4072, 602, -309, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
82482, 4081, 602, -275, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
