59297, 4218, -64, -501, 56, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
59332, 4023, 593, -307, 56, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
59367, 3935, 1082, -580, 56, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
59402, 3862, 1190, -811, 56, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
59442, 3920, 1118, -887, 57, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
59482, 4012, 745, -612, 57, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
59523, 4161, 271, -242, 57, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
59563, 4190, 55, -173, 57, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
59604, 4200, 70, -380, 57, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
59644, 4051, 217, -468, 57, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
59684, 4095, 308, -534, 57, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
59725, 4096, 546, -476, 57, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
59765, 4083, 724, -532, 57, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
59806, 3961, 917, -553, 57, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
59848, 4003, 818, -512, 57, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
59890, 4014, 860, -564, 57, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
59932, 4002, 1129, -628, 57, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
59975, 4066, 1026, -403, 57, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
60017, 3961, 1056, -426, 57, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
60059, 4040, 1136, -337, 57, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
60102, 3970, 1074, -279, 57, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
60144, 4107, 754, -227, 57, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
60186, 4103, 876, -162, 57, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
60229, 4155, 710, 117, 57, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
60264, 4133, 1220, 60, 58, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
60300, 4015, 1312, -173, 58, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
60336, 4065, 1532, -466, 58, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
60371, 3954, 1456, -446, 58, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
60407, 3893, 1262, -410, 58, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
60443, 3912, 1071, -238, 58, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
