130095, 3759, 1441, 1585, 97, 37f454d5-a6c6-4e7c-b703-dde66913d7c9, , iktidal, iktidal_tanpa_bersedekap, , 
130135, 2886, 3519, 822, 97, 37f454d5-a6c6-4e7c-b703-dde66913d7c9, , iktidal, iktidal_tanpa_bersedekap, , 
130175, 3410, 2154, 290, 97, 37f454d5-a6c6-4e7c-b703-dde66913d7c9, , iktidal, iktidal_tanpa_bersedekap, , 
130212, 3488, 1446, 882, 97, 37f454d5-a6c6-4e7c-b703-dde66913d7c9, , iktidal, iktidal_tanpa_bersedekap, , 
130250, 3470, 1435, 886, 97, 37f454d5-a6c6-4e7c-b703-dde66913d7c9, , iktidal, iktidal_tanpa_bersedekap, , 
130288, 4088, 1388, 140, 97, 37f454d5-a6c6-4e7c-b703-dde66913d7c9, , iktidal, iktidal_tanpa_bersedekap, , 
130326, 4274, 1414, -355, 97, 37f454d5-a6c6-4e7c-b703-dde66913d7c9, , iktidal, iktidal_tanpa_bersedekap, , 
130364, 4073, 1258, 336, 97, 37f454d5-a6c6-4e7c-b703-dde66913d7c9, , iktidal, iktidal_tanpa_bersedekap, , 
130401, 3889, 1405, 698, 97, 37f454d5-a6c6-4e7c-b703-dde66913d7c9, , iktidal, iktidal_tanpa_bersedekap, , 
130439, 3773, 1718, 1225, 97, 37f454d5-a6c6-4e7c-b703-dde66913d7c9, , iktidal, iktidal_tanpa_bersedekap, , 
130477, 3825, 690, -517, 97, 37f454d5-a6c6-4e7c-b703-dde66913d7c9, , iktidal, iktidal_tanpa_bersedekap, , 
130515, 3053, 52, -350, 97, 37f454d5-a6c6-4e7c-b703-dde66913d7c9, , iktidal, iktidal_tanpa_bersedekap, , 
130553, 4068, 86, -215, 97, 37f454d5-a6c6-4e7c-b703-dde66913d7c9, , iktidal, iktidal_tanpa_bersedekap, , 
130591, 4473, -192, -1007, 97, 37f454d5-a6c6-4e7c-b703-dde66913d7c9, , iktidal, iktidal_tanpa_bersedekap, , 
130628, 4362, -1245, -499, 97, 37f454d5-a6c6-4e7c-b703-dde66913d7c9, , iktidal, iktidal_tanpa_bersedekap, , 
130665, 4891, 950, -199, 97, 37f454d5-a6c6-4e7c-b703-dde66913d7c9, , iktidal, iktidal_tanpa_bersedekap, , 
130702, 4174, -543, 14, 97, 37f454d5-a6c6-4e7c-b703-dde66913d7c9, , iktidal, iktidal_tanpa_bersedekap, , 
130739, 4482, -1526, -499, 97, 37f454d5-a6c6-4e7c-b703-dde66913d7c9, , iktidal, iktidal_tanpa_bersedekap, , 
130776, 4700, 378, -47, 97, 37f454d5-a6c6-4e7c-b703-dde66913d7c9, , iktidal, iktidal_tanpa_bersedekap, , 
130813, 4497, 283, 396, 97, 37f454d5-a6c6-4e7c-b703-dde66913d7c9, , iktidal, iktidal_tanpa_bersedekap, , 
130850, 4185, -150, 302, 97, 37f454d5-a6c6-4e7c-b703-dde66913d7c9, , iktidal, iktidal_tanpa_bersedekap, , 
130887, 4202, 291, 202, 97, 37f454d5-a6c6-4e7c-b703-dde66913d7c9, , iktidal, iktidal_tanpa_bersedekap, , 
130924, 4454, 55, 394, 97, 37f454d5-a6c6-4e7c-b703-dde66913d7c9, , iktidal, iktidal_tanpa_bersedekap, , 
130962, 4821, -386, 448, 97, 37f454d5-a6c6-4e7c-b703-dde66913d7c9, , iktidal, iktidal_tanpa_bersedekap, , 
131003, 4047, 52, -195, 97, 37f454d5-a6c6-4e7c-b703-dde66913d7c9, , iktidal, iktidal_tanpa_bersedekap, , 
131044, 4165, 555, -405, 97, 37f454d5-a6c6-4e7c-b703-dde66913d7c9, , iktidal, iktidal_tanpa_bersedekap, , 
