450950, 3787, 476, -388, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
450993, 3851, 568, -70, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
451036, 3942, 663, 52, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
451079, 4097, 920, 89, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
451122, 3995, 950, 280, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
451165, 4129, 1088, 309, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
451208, 4149, 1137, 545, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
451251, 4145, 1249, 774, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
451294, 4016, 1094, 667, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
451337, 4010, 840, 399, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
451371, 4065, 833, 180, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
451405, 4057, 798, 90, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
451439, 4047, 766, 62, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
451473, 4013, 775, 47, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
451507, 4035, 801, 155, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
451542, 4048, 860, 278, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
451576, 4041, 946, 385, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
451610, 4038, 899, 384, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
451644, 4042, 874, 318, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
451678, 4035, 863, 258, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
451713, 4057, 809, 212, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
