125940, 4134, 424, -261, 87, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
125981, 4136, 378, -280, 87, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
126023, 4066, 247, -375, 87, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
126064, 4084, 90, -413, 87, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
126106, 4133, -9, -457, 87, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
126146, 4131, 43, -416, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
126187, 4141, 65, -328, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
126227, 4144, 52, -372, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
126268, 4135, 114, -310, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
126308, 4113, 262, -221, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
126349, 4116, 165, -187, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
126389, 4111, 174, -193, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
126430, 4138, 179, -238, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
126470, 4162, 163, -266, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
126511, 4139, 140, -303, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
126552, 4116, 116, -333, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
126586, 4109, 133, -326, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
126620, 4119, 122, -298, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
126654, 4114, 137, -334, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
126688, 4114, 141, -339, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
126722, 4110, 170, -297, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
126756, 4110, 136, -334, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
126790, 4123, 143, -351, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
126824, 4130, 89, -348, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
126858, 4137, 119, -325, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
126892, 4138, 127, -288, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
126933, 4120, 132, -288, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
126974, 4099, 98, -310, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
127015, 4131, 120, -293, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
