336414, 4192, -370, -346, 84, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
336450, 4180, -673, -87, 84, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
336487, 4187, -654, -76, 84, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
336524, 4054, -60, -272, 84, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
336560, 4167, -7, -364, 84, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
336597, 4357, -77, -521, 84, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
336634, 4065, 280, -384, 84, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
336671, 4062, 601, -512, 84, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
336707, 4335, 169, -272, 84, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
336744, 4159, 54, -391, 84, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
336781, 4185, 230, -442, 84, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
336818, 4070, 82, -547, 84, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
336860, 4048, 321, -638, 84, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
336902, 4109, 236, -585, 84, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
336944, 4036, 338, -629, 84, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
336986, 4044, 270, -634, 84, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
337028, 4072, 255, -558, 84, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
337070, 4102, 286, -520, 84, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
337112, 4092, 172, -426, 84, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
337154, 4162, 281, -311, 84, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
337196, 4140, 416, -238, 84, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
337239, 4144, 396, -176, 84, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
337276, 4114, 435, -270, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
337314, 4084, 534, -382, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
337352, 4068, 519, -433, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
337390, 4067, 547, -454, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
337428, 4075, 517, -377, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
337465, 4088, 565, -349, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
337503, 4091, 588, -305, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
337541, 4066, 526, -281, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
337579, 4120, 480, -310, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
337617, 4080, 447, -345, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
337653, 4091, 544, -317, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
337690, 4095, 516, -324, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
