58672, 4105, -688, -142, 97, c9c66c21-f1ea-4f99-aa95-03d9306e8675, , iktidal, iktidal_tanpa_bersedekap, , 
58713, 4130, -536, -112, 97, c9c66c21-f1ea-4f99-aa95-03d9306e8675, , iktidal, iktidal_tanpa_bersedekap, , 
58754, 4167, -482, -30, 97, c9c66c21-f1ea-4f99-aa95-03d9306e8675, , iktidal, iktidal_tanpa_bersedekap, , 
58795, 4098, -599, -77, 97, c9c66c21-f1ea-4f99-aa95-03d9306e8675, , iktidal, iktidal_tanpa_bersedekap, , 
58836, 4103, -620, -228, 97, c9c66c21-f1ea-4f99-aa95-03d9306e8675, , iktidal, iktidal_tanpa_bersedekap, , 
58877, 4098, -726, -226, 97, c9c66c21-f1ea-4f99-aa95-03d9306e8675, , iktidal, iktidal_tanpa_bersedekap, , 
58918, 4032, -768, -262, 97, c9c66c21-f1ea-4f99-aa95-03d9306e8675, , iktidal, iktidal_tanpa_bersedekap, , 
58959, 4085, -658, -262, 97, c9c66c21-f1ea-4f99-aa95-03d9306e8675, , iktidal, iktidal_tanpa_bersedekap, , 
59000, 4134, -774, -143, 97, c9c66c21-f1ea-4f99-aa95-03d9306e8675, , iktidal, iktidal_tanpa_bersedekap, , 
59041, 4091, -630, -180, 97, c9c66c21-f1ea-4f99-aa95-03d9306e8675, , iktidal, iktidal_tanpa_bersedekap, , 
59082, 4078, -597, -120, 97, c9c66c21-f1ea-4f99-aa95-03d9306e8675, , iktidal, iktidal_tanpa_bersedekap, , 
59115, 4081, -523, -203, 98, c9c66c21-f1ea-4f99-aa95-03d9306e8675, , iktidal, iktidal_tanpa_bersedekap, , 
59149, 4114, -494, -255, 98, c9c66c21-f1ea-4f99-aa95-03d9306e8675, , iktidal, iktidal_tanpa_bersedekap, , 
59183, 4106, -583, -162, 98, c9c66c21-f1ea-4f99-aa95-03d9306e8675, , iktidal, iktidal_tanpa_bersedekap, , 
59216, 4093, -531, -222, 98, c9c66c21-f1ea-4f99-aa95-03d9306e8675, , iktidal, iktidal_tanpa_bersedekap, , 
59250, 4114, -603, -124, 98, c9c66c21-f1ea-4f99-aa95-03d9306e8675, , iktidal, iktidal_tanpa_bersedekap, , 
59284, 4075, -540, -226, 98, c9c66c21-f1ea-4f99-aa95-03d9306e8675, , iktidal, iktidal_tanpa_bersedekap, , 
59317, 4070, -545, -238, 98, c9c66c21-f1ea-4f99-aa95-03d9306e8675, , iktidal, iktidal_tanpa_bersedekap, , 
59351, 4096, -532, -173, 98, c9c66c21-f1ea-4f99-aa95-03d9306e8675, , iktidal, iktidal_tanpa_bersedekap, , 
59385, 4086, -557, -180, 98, c9c66c21-f1ea-4f99-aa95-03d9306e8675, , iktidal, iktidal_tanpa_bersedekap, , 
59419, 4086, -383, -309, 98, c9c66c21-f1ea-4f99-aa95-03d9306e8675, , iktidal, iktidal_tanpa_bersedekap, , 
59463, 4069, -826, 56, 98, c9c66c21-f1ea-4f99-aa95-03d9306e8675, , iktidal, iktidal_tanpa_bersedekap, , 
59508, 4048, -513, -277, 98, c9c66c21-f1ea-4f99-aa95-03d9306e8675, , iktidal, iktidal_tanpa_bersedekap, , 
