52544, 3344, 1524, -1787, 75, cc324174-3245-492c-b5ec-5bfc1c9f158c, , iktidal, iktidal_tanpa_bersedekap, , 
52589, 3422, 1580, -1767, 75, cc324174-3245-492c-b5ec-5bfc1c9f158c, , iktidal, iktidal_tanpa_bersedekap, , 
52634, 3333, 1674, -1732, 75, cc324174-3245-492c-b5ec-5bfc1c9f158c, , iktidal, iktidal_tanpa_bersedekap, , 
52678, 3406, 1517, -1678, 75, cc324174-3245-492c-b5ec-5bfc1c9f158c, , iktidal, iktidal_tanpa_bersedekap, , 
52723, 3490, 1444, -1688, 75, cc324174-3245-492c-b5ec-5bfc1c9f158c, , iktidal, iktidal_tanpa_bersedekap, , 
52768, 3440, 1447, -1685, 75, cc324174-3245-492c-b5ec-5bfc1c9f158c, , iktidal, iktidal_tanpa_bersedekap, , 
52813, 3459, 1410, -1672, 75, cc324174-3245-492c-b5ec-5bfc1c9f158c, , iktidal, iktidal_tanpa_bersedekap, , 
52858, 3429, 1504, -1721, 75, cc324174-3245-492c-b5ec-5bfc1c9f158c, , iktidal, iktidal_tanpa_bersedekap, , 
52893, 3399, 1578, -1712, 75, cc324174-3245-492c-b5ec-5bfc1c9f158c, , iktidal, iktidal_tanpa_bersedekap, , 
52929, 3373, 1534, -1729, 75, cc324174-3245-492c-b5ec-5bfc1c9f158c, , iktidal, iktidal_tanpa_bersedekap, , 
52965, 3400, 1493, -1730, 75, cc324174-3245-492c-b5ec-5bfc1c9f158c, , iktidal, iktidal_tanpa_bersedekap, , 
53000, 3402, 1514, -1762, 75, cc324174-3245-492c-b5ec-5bfc1c9f158c, , iktidal, iktidal_tanpa_bersedekap, , 
53036, 3419, 1448, -1751, 75, cc324174-3245-492c-b5ec-5bfc1c9f158c, , iktidal, iktidal_tanpa_bersedekap, , 
53072, 3416, 1517, -1730, 75, cc324174-3245-492c-b5ec-5bfc1c9f158c, , iktidal, iktidal_tanpa_bersedekap, , 
53107, 3382, 1522, -1791, 75, cc324174-3245-492c-b5ec-5bfc1c9f158c, , iktidal, iktidal_tanpa_bersedekap, , 
53143, 3434, 1477, -1791, 75, cc324174-3245-492c-b5ec-5bfc1c9f158c, , iktidal, iktidal_tanpa_bersedekap, , 
53179, 3411, 1514, -1797, 75, cc324174-3245-492c-b5ec-5bfc1c9f158c, , iktidal, iktidal_tanpa_bersedekap, , 
53215, 3380, 1490, -1786, 75, cc324174-3245-492c-b5ec-5bfc1c9f158c, , iktidal, iktidal_tanpa_bersedekap, , 
53255, 3396, 1426, -1782, 75, cc324174-3245-492c-b5ec-5bfc1c9f158c, , iktidal, iktidal_tanpa_bersedekap, , 
53296, 3428, 1469, -1746, 75, cc324174-3245-492c-b5ec-5bfc1c9f158c, , iktidal, iktidal_tanpa_bersedekap, , 
53337, 3334, 1537, -1813, 75, cc324174-3245-492c-b5ec-5bfc1c9f158c, , iktidal, iktidal_tanpa_bersedekap, , 
53378, 3395, 1403, -1800, 75, cc324174-3245-492c-b5ec-5bfc1c9f158c, , iktidal, iktidal_tanpa_bersedekap, , 
53419, 3403, 1393, -1858, 75, cc324174-3245-492c-b5ec-5bfc1c9f158c, , iktidal, iktidal_tanpa_bersedekap, , 
53460, 3457, 1511, -1855, 75, cc324174-3245-492c-b5ec-5bfc1c9f158c, , iktidal, iktidal_tanpa_bersedekap, , 
