122321, 4031, 975, 525, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
122361, 3976, 997, 535, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
122400, 3970, 996, 556, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
122440, 3974, 946, 530, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
122480, 3965, 963, 515, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
122520, 3970, 1032, 473, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
122560, 3993, 1017, 462, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
122600, 3965, 977, 513, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
122641, 3962, 1009, 537, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
122681, 3987, 1007, 545, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
122721, 4029, 983, 529, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
122761, 3981, 969, 550, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
122801, 3998, 963, 522, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
122842, 4016, 915, 496, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
122879, 4005, 944, 513, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
122916, 3991, 921, 507, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
122953, 4023, 902, 514, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
122990, 4025, 870, 516, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
123027, 4031, 888, 539, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
123064, 4033, 887, 542, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
123101, 3976, 876, 557, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
123138, 3988, 894, 557, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
