166101, 4102, 500, 206, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
166141, 4132, 556, 121, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
166181, 4124, 480, 114, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
166221, 4048, 624, 130, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
166261, 4113, 577, 190, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
166301, 4052, 630, 178, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
166341, 4078, 637, 126, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
166381, 4106, 613, 132, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
166421, 4105, 714, 103, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
166461, 4099, 646, 165, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
166496, 4089, 587, 156, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
166532, 4083, 793, 87, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
166568, 4140, 695, 153, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
166604, 4033, 1014, 82, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
166640, 4105, 587, 332, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
166676, 3984, 1237, -20, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
166711, 4106, 836, 234, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
166747, 4090, 806, 188, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
166783, 3979, 1378, 3, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
166819, 4119, 700, 367, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
166855, 3982, 1123, 307, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
166891, 4015, 1179, 186, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
166927, 4026, 978, 261, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
166966, 3972, 1261, 83, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
167006, 3937, 974, 223, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
167045, 3861, 812, 254, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
167085, 3908, 1504, 96, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
167124, 3959, 937, 338, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
167164, 3931, 1223, 164, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
167203, 3961, 1004, 320, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
167243, 3942, 1187, 385, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
167282, 3929, 1304, 355, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
167322, 3946, 1329, 358, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
167361, 3905, 1324, 373, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
167401, 3863, 1455, 432, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
167441, 3828, 1581, 336, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
167478, 3844, 1584, 225, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
