242151, 3312, 2035, -1608, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
242197, 3189, 1807, -1600, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
242244, 3290, 1936, -1533, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
242291, 3353, 1931, -1568, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
242337, 3354, 1875, -1605, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
242384, 3303, 1838, -1626, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
242431, 3339, 1759, -1614, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
242478, 3297, 1836, -1604, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
242507, 3272, 1909, -1596, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
242536, 3259, 1933, -1641, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
242565, 3267, 1904, -1665, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
242595, 3219, 1916, -1702, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
242624, 3211, 1887, -1676, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
242653, 3211, 1945, -1679, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
242682, 3264, 1939, -1700, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
242712, 3229, 1929, -1687, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
242741, 3229, 1919, -1686, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
242770, 3257, 1889, -1700, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
242800, 3210, 1889, -1671, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
242841, 3219, 1947, -1692, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
242882, 3251, 1954, -1705, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
242923, 3241, 1905, -1715, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
242964, 3195, 1920, -1690, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
243005, 3229, 1890, -1675, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
243046, 3227, 1917, -1692, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
243087, 3216, 1935, -1692, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
243128, 3200, 1958, -1680, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
243169, 3240, 1945, -1657, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
243210, 3176, 1937, -1672, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
243246, 3175, 1980, -1686, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
243282, 3202, 1987, -1677, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
