155761, 3669, 2899, -1233, 107, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
155797, 3985, 3533, -1333, 107, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
155833, 4512, 2243, -537, 107, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
155869, 4856, 1420, -801, 107, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
155905, 4605, 704, -59, 107, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
155945, 5020, 85, -728, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
155986, 2941, -3913, -4148, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
156027, -1348, -2063, -7322, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
156068, 5513, -1914, -1978, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
156109, 4573, 1089, -835, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
156149, 4461, 1125, -798, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
156190, 3980, 1733, -1021, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
156231, 3582, 1094, -1149, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
156272, 3438, 829, -507, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
156313, 3760, 1405, -321, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
156354, 4046, 1191, -381, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
156391, 4225, 897, -548, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
156428, 4074, 503, -1032, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
156465, 3938, -174, -1405, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
156502, 4024, -136, -1348, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
156540, 4031, 267, -1072, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
156577, 4000, 571, -978, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
156614, 3977, 638, -855, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
156651, 3939, 622, -736, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
156688, 3961, 644, -651, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
156726, 4009, 583, -668, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
156772, 4035, 406, -786, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
156819, 4035, 329, -874, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
156866, 4018, 395, -901, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
156912, 4014, 514, -893, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
156959, 4009, 577, -862, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
157006, 3974, 544, -906, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
157052, 4006, 453, -903, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
157099, 4012, 475, -869, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
157146, 4001, 483, -871, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
157193, 4001, 512, -848, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
157225, 4021, 530, -872, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
157258, 3988, 511, -833, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
157291, 3973, 463, -843, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
157323, 4005, 476, -853, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
157356, 4015, 477, -877, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
157389, 4049, 526, -878, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
157422, 4020, 591, -881, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
157454, 4015, 536, -922, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
157487, 4010, 476, -901, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
157520, 4010, 502, -912, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
157553, 3995, 501, -887, 102, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
157587, 4021, 520, -875, 94, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
157622, 4030, 518, -819, 94, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
157657, 3998, 509, -804, 94, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
157692, 4001, 530, -834, 94, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
157727, 4016, 486, -802, 94, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
157761, 4031, 485, -804, 94, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
