213307, 4157, 474, -441, 78, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
213349, 4068, 713, -391, 77, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
213391, 4022, 690, -310, 77, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
213433, 3994, 602, -270, 77, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
213475, 4071, 583, -246, 77, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
213517, 4093, 534, -243, 77, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
213559, 4142, 500, -286, 77, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
213601, 4121, 543, -285, 77, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
213643, 4119, 594, -250, 77, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
213685, 4099, 623, -271, 77, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
213728, 4089, 546, -268, 77, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
213761, 4066, 508, -224, 77, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
213794, 4058, 491, -127, 77, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
213827, 4114, 552, -255, 77, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
213861, 4087, 625, -343, 77, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
213894, 4067, 624, -315, 77, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
213927, 4043, 552, -397, 77, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
213960, 4067, 573, -366, 77, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
213994, 4059, 566, -263, 77, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
214027, 4110, 562, -253, 77, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
214060, 4076, 469, -344, 77, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
214094, 4106, 560, -286, 77, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
214139, 4098, 568, -273, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
214185, 4094, 562, -276, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
214231, 4076, 540, -272, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
214277, 4122, 509, -267, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
214323, 4092, 514, -237, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
214369, 4075, 503, -246, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
214415, 4094, 539, -244, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
214461, 4065, 569, -225, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
214507, 4044, 570, -256, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
214553, 4096, 585, -290, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
214586, 4095, 543, -258, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
214620, 4087, 533, -273, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
214653, 4076, 482, -309, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
214687, 4169, 577, -293, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
214721, 4081, 573, -311, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
214754, 4093, 566, -319, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
214788, 4086, 587, -293, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
214821, 4089, 586, -324, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
214855, 4072, 538, -304, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
214889, 4061, 591, -299, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
214926, 4143, 605, -340, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
214963, 4080, 567, -350, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
215001, 4072, 601, -301, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
215038, 4087, 547, -346, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
215076, 4079, 565, -371, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
215113, 4064, 586, -385, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
215151, 4089, 571, -378, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
