88306, 4228, -121, -398, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
88343, 4398, -682, -27, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
88381, 4150, -154, 129, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
88418, 3949, 758, 293, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
88455, 3952, 1078, 210, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
88493, 4058, 1343, 74, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
88530, 4098, 1317, 125, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
88567, 4008, 1213, 51, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
88605, 4045, 867, 209, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
88642, 4098, 640, 416, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
88680, 4103, 696, 500, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
88718, 4089, 760, 427, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
88757, 3996, 1279, 456, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
88795, 4117, 1112, 523, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
88834, 4023, 1024, 725, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
