53584, 4078, 76, -313, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
53624, 4130, -192, -405, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
53664, 4118, -162, -352, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
53704, 4109, 74, -394, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
53744, 4142, 187, -423, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
53778, 4120, 150, -323, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
53813, 4098, 125, -394, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
53848, 4105, 149, -412, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
53883, 4166, 151, -395, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
53918, 4112, 123, -427, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
53952, 4106, 142, -405, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
53987, 4105, 198, -383, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
54022, 4131, 111, -400, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
54057, 4140, 138, -416, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
54092, 4081, 149, -448, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
